scenario,path_shape,repeat,requested_speed_m_s,progress_start_m,progress_end_m,required_height_m,tangent_speed_mean_m_s,speed_error_mean_m_s,schedule_error_mean_m,samples,duty_factor_mean,flight_fraction,duty_factor_fl,duty_factor_fr,duty_factor_hl,duty_factor_hr,diagonal_contact_correlation,ipsilateral_contact_correlation
0,procedural,0,0.6499999761581421,0.0,0.4,0.1704999953508377,0.3709326031582676,-0.2790673729998745,-0.22781129832369007,53,0.5283018867924528,0.03773584905660377,0.5283018867924528,0.4528301886792453,0.7735849056603774,0.3584905660377358,0.3510597266253646,-0.1722436952399446
0,procedural,0,0.6499999761581421,0.4,0.8,0.1836464229438986,0.7947597567524228,0.1447597805942808,-0.25735709242309923,28,0.5178571428571429,0.0,0.6071428571428571,0.35714285714285715,0.5,0.6071428571428571,0.722945375929109,-0.7923721318093495
0,procedural,0,0.6499999761581421,0.8,1.2000000000000002,0.29319998621940613,0.7645896421029017,0.11458966594475967,-0.2001154052569327,26,0.5865384615384616,0.0,0.5769230769230769,0.6538461538461539,0.6923076923076923,0.4230769230769231,0.6496248958757223,-0.6284612187483101
0,procedural,0,0.6499999761581421,1.2000000000000002,1.6,0.29319998621940613,0.8978769264437936,0.24787695028565146,-0.11295465751127862,22,0.5454545454545454,0.0,0.5454545454545454,0.5,0.45454545454545453,0.6818181818181818,0.26275255840878275,-0.27971834427561326
0,procedural,0,0.6499999761581421,1.6,2.0,0.29319998621940613,0.8795490535822782,0.22954907742413608,0.026499961592932664,22,0.5340909090909091,0.045454545454545456,0.36363636363636365,0.5909090909090909,0.7727272727272727,0.4090909090909091,0.5879686628784137,-0.3511857279734708
0,procedural,0,0.6499999761581421,2.0,2.4000000000000004,0.29319998621940613,0.6245527679429335,-0.025447208215208614,0.023676292265160808,34,0.6470588235294118,0.0,0.5588235294117647,0.5588235294117647,0.8823529411764706,0.5882352941176471,0.13136833325517727,-0.22970775270126503
0,procedural,0,0.6499999761581421,2.4000000000000004,2.8000000000000003,0.29319998621940613,0.7711140005676834,0.12111402440954137,0.0511847181849987,27,0.5648148148148148,0.037037037037037035,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.7037037037037037,0.2894971792286244,-0.23672416517997533
0,procedural,0,0.6499999761581421,2.8000000000000003,3.2,0.29319998621940613,0.6517249564329783,0.0017249802748362222,0.07016603064536753,30,0.65,0.0,0.5666666666666667,0.6,0.7666666666666667,0.6666666666666666,0.3763086543737382,-0.45772024611491297
0,procedural,0,0.6499999761581421,3.2,3.6,0.29319998621940613,0.5464181295463018,-0.10358184661184039,0.03414188677923805,35,0.6,0.0,0.6285714285714286,0.5142857142857142,0.6285714285714286,0.6285714285714286,0.47124119811351306,-0.36710136409965416
0,procedural,0,0.6499999761581421,3.6,4.0,0.29319998621940613,0.5474005515376726,-0.1025994246204694,-0.002167391300204713,24,0.7083333333333334,0.0,0.75,0.5833333333333334,0.5833333333333334,0.9166666666666666,0.6754021982192612,-0.27379680880168644
1,procedural,1,0.6499999761581421,0.0,0.4,0.1704999953508377,0.4696824179184411,-0.18031755823970094,-0.08677271928909178,44,0.5340909090909091,0.045454545454545456,0.5227272727272727,0.38636363636363635,0.6818181818181818,0.5454545454545454,0.37434830058293167,-0.2824123135281425
1,procedural,1,0.6499999761581421,0.4,0.8,0.17850216866835303,0.4427908989398376,-0.2072090772183045,-0.27841297786909674,46,0.5869565217391305,0.021739130434782608,0.4782608695652174,0.4782608695652174,0.8043478260869565,0.5869565217391305,0.5051001396820102,-0.2765963975917117
1,procedural,1,0.6499999761581421,0.8,1.2000000000000002,0.29319998621940613,0.6744492332140605,0.024449257055918376,-0.3291666102806739,30,0.6166666666666667,0.0,0.5333333333333333,0.43333333333333335,0.8333333333333334,0.6666666666666666,0.5735029452279881,-0.6134687766648389
1,procedural,1,0.6499999761581421,1.2000000000000002,1.6,0.29319998621940613,0.8820026191798124,0.23200264302167026,-0.28559101070057386,22,0.45454545454545453,0.045454545454545456,0.5,0.3181818181818182,0.45454545454545453,0.5454545454545454,0.3607483471100049,-0.6480270174299771
1,procedural,1,0.6499999761581421,1.6,2.0,0.29319998621940613,0.8424379229545593,0.19243794679641724,-0.17883335830768132,24,0.6145833333333334,0.0,0.4166666666666667,0.6666666666666666,0.8333333333333334,0.5416666666666666,0.29815052425367766,-0.29901388820096153
