scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_arrived,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,task_success_profile_height_mae_m,task_success_profile_height_within_tolerance_fraction,task_success_yaw_ok,task_success_terminal_height_ok,task_success_mean_speed_ok,task_success_profile_height_ok,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.2800000011920929,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.05560917670830054,0.044094543904066086,0.03568587452173233,0.08521172255277631,0.45,0.056569479405879974,0.04483041912317276,4.000000476837158,100,0.08949980579845085,4.000000000000133,4.0,4.0,0.9999999999999667,0.16666666666666666,0.8333333333333333,True,22.1,0.1809954751131282,0.904977375565641,0.16666666666666666,0.8333333333333333,0.278219056623203,-1.3322676295501878e-13,0.053311098366975784,0.09775466024875641,0.08949980579845085,True,True,False,19.12,0.12408239178988514,0.11994344392885405,0.11205583810806274,0.009205020920509038,0.041568551426602825,0.5494896789244221,True,False,True,False,-4.086931228637695,-0.021288305521011353,0.13769245147705078,0.18989472091197968,0.15239889919757843,0.17070896923542023,0.23765093088150024,0.17024056613445282,0.8512028306722641,0.20583662390708923,10.935059547424316,0.44049975275993347
1,1,straight,,0.2,0.2800000011920929,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500,5,0,5,2.2068101356081064e-06,False,True,False,0.96,0.03726923430693244,0.04396043345332146,0.03844049945473671,0.08244824111461636,0.40425531914893614,0.04396043345332146,0.03844049945473671,4.000000476837158,100,3.873897459105553,4.000000000000133,0.1266736388206482,0.13515010476112366,0.031668409705160994,0.005278068284193675,0.026390341420968372,False,nan,nan,nan,0.13475919023473212,0.6737959511736605,0.020505129773566073,-3.873326361179485,0.03550741448998451,0.06291643381118774,3.873897459105553,True,False,False,nan,nan,nan,nan,nan,nan,nan,False,False,False,False,-0.1266736388206482,0.0665159821510315,0.03094100952148438,0.2484612762928009,0.20840021967887878,0.09342100471258163,0.20840021967887878,0.13663305342197418,0.6831652671098709,0.2088177651166916,16.841833114624023,0.41916462779045105
2,2,straight,,0.2,0.2800000011920929,,random,0.8,0.1705;0.2500;0.1705;0.2500;0.2100;0.1705,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.06414858731717084,0.044507697224617004,0.03680218756198883,0.08763282597064971,0.4558333333333333,0.04290295019745827,0.034430213272571564,3.9979869723320007,100,0.07081179931013169,3.9979864954949758,3.9979865550994873,3.9979865550994873,1.0000000149086326,0.1665827731291453,0.8329138656457264,True,20.059999857081927,0.19930142193313813,0.9965071096656906,0.1665827731291453,0.8329138656457264,0.12145297138539772,5.960451154862767e-08,0.06317766010761261,0.09810154624283314,0.07081179931013169,True,True,True,19.64,0.13208292003349323,0.11572081247438627,0.0065431147813797,0.0035634671840618914,0.03911581729234324,0.5161898586717166,True,True,True,True,-4.062366485595703,0.033536672592163086,0.141481701527731,0.12230543792247772,0.17543533444404602,0.16697090864181519,0.22808553278446198,0.1688425987958908,0.844212993979454,0.1680755615234375,12.037598609924316,0.3931838274002075
3,0,straight,,0.35,0.2800000011920929,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.08565757954623442,0.04130061715841293,0.02797386795282364,0.09960093349218369,0.6708333333333333,0.05948419123888016,0.04176180064678192,4.000000476837158,100,0.07037049404106493,4.000000000000133,3.990995168685913,4.0,0.9977487921714451,0.16629146536191305,0.47511847246260874,True,11.44,0.3496503496503613,0.9990009990010323,0.16629146536191305,0.47511847246260874,0.19290718739188742,-0.00900483131422014,0.0838802382349968,0.12874466106295582,0.07037049404106493,True,True,False,10.56,0.14965108049657544,0.25150734583009915,0.13681945204734802,0.028787878787891408,0.04876900979713831,0.4885583102701223,True,False,True,False,-3.990995168685913,0.06979161500930786,0.16536784172058105,0.17766043543815613,0.15306800603866577,0.16722148656845093,0.2695385217666626,0.1667671650648117,0.4764776144708906,0.23726390302181244,9.151611328125,0.4728563129901886
4,1,straight,,0.35,0.2800000011920929,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.17115834617214123,0.05914871767163277,0.05282515659928322,0.10166156291961669,0.21583333333333332,0.06989457458257675,0.06477353721857071,3.9971835911273956,100,0.3616801478705548,3.9971831142903707,3.997183084487915,3.997183084487915,0.9999999925441355,0.16654929518699646,0.4758551291057042,True,12.96,0.3084246230162323,0.8812132086178066,0.16654929518699646,0.4758551291057042,0.13876724845893218,-2.980245561445827e-08,0.1708480715751648,0.3338438093662261,0.3616801478705548,True,True,False,10.48,0.1341154287997585,0.1716912428485318,0.0706252008676529,0.03141060250862315,0.04889142399766158,0.5513392711671435,True,False,True,False,-4.2643585205078125,-0.24683451652526855,1.2326350847827359,0.08235321938991547,0.16884352266788483,0.18613044917583466,0.2500317096710205,0.1776534914970398,0.5075814042772566,0.1903015673160553,12.915556907653809,0.4060775637626648
5,2,straight,,0.35,0.2800000011920929,,random,0.8,0.1705;0.2500;0.1705;0.2500;0.2100;0.1705,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.06596469446088915,0.03566090762615204,0.027372010052204132,0.07371312752366062,0.615,0.03573518991470337,0.023701218888163567,4.000000476837158,100,0.049636197242180075,4.000000000000133,3.9542999267578125,4.0,0.9885749816894202,0.1647624969482422,0.470749991280692,True,11.48,0.3484320557491405,0.9955201592832587,0.1647624969482422,0.470749991280692,0.1718501706533336,-0.04570007324232073,0.06366369873285294,0.10881979279220104,0.049636197242180075,True,True,False,11.3,0.1199879375230568,0.2188294569598599,0.0005635172128677368,0.003982300884967538,0.04173725223466721,0.5035926532367194,True,True,True,False,-3.9542999267578125,-0.019371867179870605,0.2641921043395996,0.08810821175575256,0.11574582010507584,0.16926495730876923,0.2591196298599243,0.16469170153141022,0.47054771866117207,0.16641072928905487,10.727206230163574,0.42273205518722534
6,0,straight,,0.5,0.2800000011920929,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932,5,5,4,2.2068101356081064e-06,True,False,False,24.0,0.06303599635078934,0.03597687557339668,0.020723793655633926,0.10660133063793183,0.825,0.04523187130689621,0.027062924578785896,4.000000476837158,100,0.04059511280141875,4.000000000000133,3.969055652618408,4.0,0.992263913154569,0.16537731885910034,0.3307546377182007,True,7.34,0.5449591280654132,1.0899182561308265,0.16537731885910034,0.3307546377182007,0.146712911369492,-0.030944347381725024,0.06143561750650406,0.10960894227027893,0.04059511280141875,True,True,False,6.78,0.12090043212902944,0.13236457506288726,0.1288732886314392,0.0899705014749459,0.04817439542150372,0.5213018196034129,True,False,False,False,-3.969055652618408,-0.02627602219581604,0.3101537227630615,0.14359480142593384,0.1472204476594925,0.16662731766700745,0.2888118326663971,0.16558456420898438,0.33116912841796875,0.2587360143661499,7.817086219787598,0.4920008182525635
7,1,straight,,0.5,0.2800000011920929,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500,5,5,4,2.2068101356081064e-06,True,False,False,24.0,0.18541487879612087,0.05534107983112335,0.04827697575092316,0.09910754710435868,0.2833333333333333,0.05493500083684921,0.0482107438147068,4.000000476837158,100,0.21915883759636245,4.000000000000133,4.0,4.0,0.9999999999999667,0.16666666666666666,0.3333333333333333,True,7.98,0.5012531328320968,1.0025062656641937,0.16666666666666666,0.3333333333333333,0.062139063877452806,-1.3322676295501878e-13,0.18529793620109558,0.33875044286251066,0.21915883759636245,True,True,False,6.98,0.11921290259418789,0.048725191746847224,0.0854136049747467,0.07306590257881562,0.057963559724898285,0.4536383733616238,True,False,True,False,-4.212045669555664,-0.05538293719291687,0.01264292398561675,0.0762445330619812,0.1332264095544815,0.18052323162555695,0.2582724392414093,0.17551790177822113,0.35103580355644226,0.20201724767684937,11.988024711608887,0.40686485171318054
8,2,straight,,0.5,0.2800000011920929,,random,0.8,0.1705;0.2500;0.1705;0.2500;0.2100;0.1705,5,5,4,2.2068101356081064e-06,True,False,False,24.0,0.06564513261616652,0.03295442834496498,0.025643251836299896,0.06788053587079049,0.7033333333333334,0.030163370072841644,0.022599227726459503,4.000000476837158,100,0.057410688226141864,4.000000000000133,3.9425971508026123,4.0,0.9856492877006202,0.16427488128344217,0.32854976256688434,True,8.120000000000001,0.49261083743844,0.98522167487688,0.16427488128344217,0.32854976256688434,0.12921493408589502,-0.05740284919752092,0.06108975410461426,0.10547781437635421,0.057410688226141864,True,True,True,7.78,0.1231743567283622,0.3122611681567593,0.04503007233142853,0.014138817480736865,0.03996900818227818,0.535982231191118,True,True,True,True,-3.9425971508026123,-0.0009490549564361572,0.18568992614746094,0.047991808503866196,0.1791236847639084,0.16983520984649658,0.28151416778564453,0.16477613151073456,0.3295522630214691,0.16533760726451874,10.449576377868652,0.4260575473308563
9,0,circle,,0.2,0.2800000011920929,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932,5,5,5,0.6639431209223358,True,False,False,24.0,0.05267440293073693,0.04078100994229317,0.034804992377758026,0.07576332315802572,0.42583333333333334,0.06780804693698883,0.055588945746421814,4.000000476837158,71,0.004843080437970156,4.000000011613284,4.0,4.0,0.9999999970966791,0.16666666666666666,0.8333333333333333,True,20.16,0.19841269898875416,0.9920634949437708,0.16666666666666666,0.8333333333333333,0.264133508011535,-1.1613283668054919e-08,0.050262972712516785,0.11937153227627277,0.004843080437970156,True,True,False,19.66,0.11651964144068584,0.39708417654037476,0.12481765449047089,0.0034588001837885796,0.04078017208833792,0.5161466197875564,True,False,True,False,-0.6822452545166016,-2.837378978729248,0.264641135931015,0.08422259241342545,0.17323124408721924,0.16548871994018555,0.2432502806186676,0.16766571998596191,0.8383285999298096,0.20138013362884521,10.802741050720215,0.4507715702056885
