scenario_id,repeat,requested_vx,requested_vy,requested_wz,requested_height,samples,survived,time_to_failure_s,achieved_vx_mean,achieved_vy_mean,achieved_wz_mean,achieved_height_mean,achieved_height_std,vx_rmse,vy_rmse,wz_rmse,height_rmse,tilt_rms_deg,tilt_max_deg,action_delta_rms
0,0,0.0,0.0,0.0,0.1705,300,True,nan,-0.00543883815407753,0.001318692578934133,0.007763341069221497,0.17213289439678192,0.0013178529916331172,0.04069140553474426,0.018987059593200684,0.07403484731912613,0.002098353346809745,1.0427008867263794,1.8350293636322021,0.0605153813958168
1,0,0.0,0.0,0.0,0.2,300,True,nan,-0.013805260881781578,0.00195258017629385,0.0011453906772658229,0.2151200920343399,0.0019587832503020763,0.04177981987595558,0.02750970982015133,0.14510458707809448,0.015246439725160599,1.1930739879608154,2.346330404281616,0.0651974231004715
2,0,0.0,0.0,0.0,0.23,300,True,nan,-0.008977293968200684,0.0019062085775658488,-0.0014869134174659848,0.24808238446712494,0.002172171138226986,0.048898421227931976,0.02830655500292778,0.16642969846725464,0.01821235381066799,1.6299039125442505,3.512962818145752,0.06700195372104645
3,0,0.0,0.0,0.0,0.26,300,True,nan,-0.0062684305012226105,0.006820596754550934,-0.02094350941479206,0.27598652243614197,0.003441442037001252,0.04430500045418739,0.031225262209773064,0.10129160434007645,0.016352767124772072,1.6185276508331299,3.6906256675720215,0.07108386605978012
4,0,0.0,0.0,0.0,0.2932,300,True,nan,0.0016171035822480917,-0.0077592493034899235,-0.09423752129077911,0.3032669723033905,0.004322124179452658,0.05678112059831619,0.06202526018023491,0.16518093645572662,0.010955565609037876,2.3272366523742676,5.813626289367676,0.07022275030612946
5,0,0.4,0.0,0.0,0.1705,300,True,nan,0.4801543056964874,0.008249808102846146,0.028444208204746246,0.16741618514060974,0.0026652386877685785,0.10182297974824905,0.0313374362885952,0.21053725481033325,0.004075943026691675,3.1132760047912598,5.062382698059082,0.16822192072868347
6,0,0.4,0.0,0.0,0.2,300,True,nan,0.4396359324455261,0.011534803546965122,-0.035119835287332535,0.21094538271427155,0.0022431209217756987,0.05961831659078598,0.03032119758427143,0.33684512972831726,0.011172858066856861,2.6560328006744385,4.424381732940674,0.1531294733285904
7,0,0.4,0.0,0.0,0.23,300,True,nan,0.3209869861602783,0.027759362012147903,-0.03932112455368042,0.2430233210325241,0.00193972943816334,0.09301912784576416,0.0427393764257431,0.42974716424942017,0.013166982680559158,2.1681931018829346,4.219410419464111,0.13528773188591003
8,0,0.4,0.0,0.0,0.26,300,True,nan,0.31364813446998596,0.023840608075261116,-0.05035114288330078,0.28036418557167053,0.001919213798828423,0.10910859704017639,0.04339255020022392,0.3080699145793915,0.02045442722737789,2.059999942779541,4.594015598297119,0.12219320237636566
9,0,0.4,0.0,0.0,0.2932,300,True,nan,0.3701322674751282,0.062157079577445984,0.0038500416558235884,0.29887500405311584,0.0019353382522240281,0.07445649057626724,0.07911372929811478,0.11227920651435852,0.005995947401970625,3.36395525932312,8.918282508850098,0.14463092386722565
10,0,0.3,0.15,0.2,0.1705,300,True,nan,0.3598284125328064,0.1803843379020691,0.15665188431739807,0.16894090175628662,0.002787737175822258,0.09260877221822739,0.05082247033715248,0.17644521594047546,0.0031940939370542765,3.5359320640563965,6.171476364135742,0.1729315221309662
11,0,0.3,0.15,0.2,0.2,300,True,nan,0.3247566521167755,0.18984603881835938,0.0558796264231205,0.2112300544977188,0.002437884220853448,0.06099932640790939,0.05203325301408768,0.31027111411094666,0.011491633951663971,3.0105202198028564,5.357340335845947,0.15173327922821045
12,0,0.3,0.15,0.2,0.23,300,True,nan,0.2155226618051529,0.14945651590824127,0.03448822721838951,0.24506407976150513,0.001800857950001955,0.09618639200925827,0.032837577164173126,0.3849542438983917,0.015171333216130733,2.506035566329956,4.353921413421631,0.1250503659248352
13,0,0.3,0.15,0.2,0.26,300,True,nan,0.20911931991577148,0.11293274909257889,0.03595360741019249,0.28066307306289673,0.0018518317956477404,0.10540902614593506,0.052647385746240616,0.26843544840812683,0.0207458958029747,2.5416245460510254,5.564150810241699,0.11194110661745071
14,0,0.3,0.15,0.2,0.2932,300,True,nan,0.2798396944999695,0.17928048968315125,0.1360665112733841,0.30129796266555786,0.0023969176691025496,0.05899766460061073,0.06051187962293625,0.18573153018951416,0.008445272222161293,2.970672369003296,9.040889739990234,0.13129578530788422
