time_s,requested_height,achieved_height,requested_vx,achieved_vx,achieved_vy,achieved_wz,done
0.0,0.2932,0.31094124913215637,0.4,0.02272828482091427,-0.016004273667931557,0.0008285685908049345,False
0.02,0.2932,0.3118785619735718,0.4,0.040352337062358856,-0.011624890379607677,0.015676060691475868,False
0.04,0.2932,0.3123743534088135,0.4,0.05999648571014404,-0.008992032147943974,0.01930288039147854,False
0.06,0.2932,0.3120294511318207,0.4,0.07888875156641006,-0.00890997052192688,0.07762105762958527,False
0.08,0.2932,0.3124416470527649,0.4,0.10375259071588516,-0.0074607003480196,0.08068694174289703,False
0.1,0.2932,0.3138140141963959,0.4,0.12323356419801712,-0.005122305825352669,0.0730823278427124,False
0.12,0.2932,0.3147381544113159,0.4,0.1376192569732666,-0.0021440954878926277,0.05630645155906677,False
0.14,0.2932,0.3147503435611725,0.4,0.14530335366725922,-0.0004771427484229207,0.08908402174711227,False
0.16,0.2932,0.3151185214519501,0.4,0.16067226231098175,-0.0063114771619439125,0.15982940793037415,False
0.18,0.2932,0.31577157974243164,0.4,0.1619763821363449,-0.007734349928796291,0.17601855099201202,False
0.2,0.2932,0.31606653332710266,0.4,0.1634969413280487,-0.0029681266751140356,0.10225363820791245,False
0.22,0.2932,0.316371887922287,0.4,0.17218662798404694,-0.009277530014514923,0.053322214633226395,False
0.24,0.2932,0.31661394238471985,0.4,0.1618127077817917,-0.014193836599588394,0.051985807716846466,False
0.26,0.2932,0.3166457414627075,0.4,0.168963223695755,-0.006202392280101776,0.023733340203762054,False
0.28,0.2932,0.3165980279445648,0.4,0.18188823759555817,-0.0038254966493695974,-0.005231995601207018,False
0.3,0.2932,0.316866934299469,0.4,0.19306793808937073,-0.006207553669810295,0.033693499863147736,False
0.32,0.2932,0.3173755407333374,0.4,0.188126340508461,-0.017031826078891754,0.032320693135261536,False
0.34,0.2932,0.3176979124546051,0.4,0.18792101740837097,-0.021301239728927612,-0.00679283682256937,False
0.36,0.2932,0.3178125321865082,0.4,0.17215335369110107,-0.030649149790406227,-0.10953392088413239,False
0.38,0.2932,0.31764933466911316,0.4,0.1513739973306656,-0.031979843974113464,-0.2953230142593384,False
