scenario_id,repeat,path_shape,reference_demo,requested_speed,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,2.365151505290278e-06,True,20.0,0.02964071382541268,0.013422278687357903,9.971739768981934,0.0056393782245083525,0.012067681178450584,0.005840887315571308,0.0008137483964674175,0.011064918711781502,0.004068741982337087,0.306574285030365,0.3904995620250702,0.03882898390293121
1,0,straight,,0.4,2.143417567721997e-06,True,20.0,0.10007317114566283,0.00887914840131998,2.9410576820373535,0.6439764499664307,0.3582558035850525,0.4156401753425598,0.33182865381240845,0.3595336973667145,0.8295716345310211,0.30169084668159485,2.3101906776428223,0.15112783014774323
2,0,straight,,0.6,2.365151505290278e-06,True,20.0,0.09137112609183329,0.013327782042324543,0.006928435061126947,0.20435261726379395,0.014411949552595615,0.037312351167201996,0.40899962186813354,0.5136257410049438,0.6816660364468893,0.30531445145606995,4.150118827819824,0.19353598356246948
3,0,straight,,0.8,2.3651517246810975e-06,False,4.62,0.2497427419313149,0.021434061229228973,10.0,0.0,0.05166901275515556,0.8005960583686829,0.7365989089012146,0.7725761532783508,0.9207486361265182,0.28991279006004333,12.753368377685547,0.3968795835971832
4,0,straight,,1.0,2.1434166699242666e-06,False,4.82,0.3056432989441046,0.029941286891698837,10.0,0.0,0.3628615140914917,0.8662742376327515,0.7231830358505249,0.89357990026474,0.7231830358505249,0.2833719849586487,15.692317962646484,0.4276312291622162
5,0,circle,,0.2,0.6628243904526062,False,6.640000000000001,2.405610741540915,0.07326863706111908,2.1213202476501465,1.5897216240512295,0.2751253545284271,0.33851921558380127,-0.09032273292541504,0.21047113835811615,-0.4516136646270752,0.25295573472976685,19.00035285949707,0.7181589007377625
6,0,circle,,0.4,0.6628243612737856,True,20.0,1.318919331756579,0.02824641950428486,1.6091628074645996,0.22690391540527344,0.46405303478240967,0.44502148032188416,0.22724905610084534,0.39758214354515076,0.5681226402521133,0.2942849099636078,6.914224624633789,0.25761473178863525
7,0,circle,,0.6,0.6628243564285727,False,6.08,2.2184262227359777,0.04683556407690048,2.1213204860687256,1.5897216240512295,0.15870866179466248,0.46283847093582153,-0.14251425862312317,0.23157387971878052,-0.23752376437187195,0.2778995633125305,17.675662994384766,0.41280174255371094
8,0,circle,,0.8,0.6628243571747507,False,5.6000000000000005,2.415093410598359,0.06496023386716843,2.1213204860687256,1.5897216240512295,0.1283320188522339,0.3361809551715851,-0.12828734517097473,0.25077518820762634,-0.16035918146371841,0.2528393268585205,20.748680114746094,0.46360713243484497
9,0,circle,,1.0,0.662824489239073,False,8.08,1.719641950354307,0.031136708334088326,2.1213202476501465,1.5897216240512295,0.05767910182476044,0.8595723509788513,0.23863090574741364,0.5287159085273743,0.23863090574741364,0.2762233018875122,9.288346290588379,0.40527501702308655
10,0,s_curve,,0.2,0.19313734024001486,True,20.0,0.02036753099161483,0.013549458235502243,9.984203338623047,0.15764474868774414,0.004810929764062166,0.010556391440331936,0.0007322807796299458,0.013938690535724163,0.0036614038981497288,0.30666133761405945,0.14733745157718658,0.043389465659856796
11,0,s_curve,,0.4,0.19313718698575127,True,20.0,0.08504778385962578,0.008928898721933365,3.0408363342285156,0.5112605730639859,0.3081369996070862,0.32967501878738403,0.3279130756855011,0.3627273738384247,0.8197826892137527,0.3015010356903076,2.4424076080322266,0.1534377485513687
12,0,s_curve,,0.6,0.1931374259112567,True,20.0,0.10062001591674394,0.006092425901442766,0.12608617544174194,0.09670448303222656,0.016478294506669044,0.01323902141302824,0.48806366324424744,0.5243611931800842,0.8134394387404125,0.2962316870689392,4.3104681968688965,0.2418150156736374
13,0,s_curve,,0.8,0.19313718053033072,False,3.66,0.21245302634826718,0.02160392887890339,10.003374099731445,0.16133910814394195,0.24572940170764923,0.7570836544036865,0.7202649712562561,0.7504579424858093,0.9003312140703201,0.28504303097724915,12.535858154296875,0.3811821937561035
14,0,s_curve,,1.0,0.19313702727787171,False,3.14,0.15188962924357755,0.06847481429576874,10.003374099731445,0.16133910814394195,0.2567818760871887,0.4492928385734558,0.49065035581588745,0.5996989607810974,0.49065035581588745,0.24927809834480286,31.297531127929688,0.7994145154953003
