scenario_id,repeat,requested_vx,requested_vy,requested_wz,requested_height,samples,survived,time_to_failure_s,achieved_vx_mean,achieved_vy_mean,achieved_wz_mean,achieved_height_mean,achieved_height_std,vx_rmse,vy_rmse,wz_rmse,height_rmse,tilt_rms_deg,tilt_max_deg,action_delta_rms
0,0,0.0,0.0,0.0,0.1705,300,True,nan,0.0008068106835708022,-0.0010905591771006584,0.011355357244610786,0.16984952986240387,0.0010693722870200872,0.025741014629602432,0.013286448083817959,0.07657105475664139,0.0012516664573922753,0.3725121021270752,0.9399698972702026,0.05661196634173393
1,0,0.0,0.0,0.0,0.2,300,True,nan,-0.04322032630443573,-0.05610199645161629,-0.059678975492715836,0.20901067554950714,0.002272943500429392,0.05036609247326851,0.060491662472486496,0.16154125332832336,0.009292912669479847,1.2141261100769043,3.015634536743164,0.08789358288049698
2,0,0.0,0.0,0.0,0.23,300,True,nan,-0.08770732581615448,-0.057215940207242966,-0.004916728474199772,0.23381131887435913,0.0023982389830052853,0.09620107710361481,0.0655280128121376,0.1653997302055359,0.004503075033426285,2.0997564792633057,6.087927341461182,0.09085332602262497
3,0,0.0,0.0,0.0,0.26,215,False,6.32,-0.02966529130935669,-0.06611859798431396,-0.031226180493831635,0.23182371258735657,0.05310126394033432,0.13824740052223206,0.2145553082227707,0.703022301197052,0.06011362001299858,19.816015243530273,60.87636184692383,0.482164591550827
4,0,0.0,0.0,0.0,0.2932,300,True,nan,-0.01718934439122677,-0.09395063668489456,0.06431278586387634,0.285541832447052,0.04203404486179352,0.07546118646860123,0.13975438475608826,0.8781901597976685,0.04272596538066864,10.980240821838379,39.625267028808594,0.29982447624206543
5,0,0.4,0.0,0.0,0.1705,300,True,nan,0.5110699534416199,0.022185711190104485,0.038915712386369705,0.16705282032489777,0.0017495376523584127,0.11604826897382736,0.035781994462013245,0.18464940786361694,0.0038657246623188257,3.2892813682556152,4.994178771972656,0.17855100333690643
6,0,0.4,0.0,0.0,0.2,300,True,nan,0.475228488445282,0.030781224370002747,-0.009928577579557896,0.20982572436332703,0.0018387598684057593,0.08155831694602966,0.0417492538690567,0.2268536239862442,0.009996291249990463,2.376164197921753,4.110892295837402,0.1633334904909134
7,0,0.4,0.0,0.0,0.23,300,True,nan,0.38244307041168213,0.029988832771778107,-0.028536053374409676,0.24059048295021057,0.001981679815798998,0.03997599333524704,0.051172733306884766,0.37702056765556335,0.01077428087592125,1.8370022773742676,3.0776333808898926,0.14483779668807983
8,0,0.4,0.0,0.0,0.26,300,True,nan,0.33139896392822266,0.029141053557395935,-0.002648301888257265,0.2771787941455841,0.002355746692046523,0.07875283807516098,0.05072692409157753,0.2896708846092224,0.01733957976102829,1.9846491813659668,3.4697673320770264,0.13445714116096497
9,0,0.4,0.0,0.0,0.2932,300,True,nan,0.4288342297077179,0.13732801377773285,0.05693934112787247,0.29053404927253723,0.008525921031832695,0.06584110856056213,0.1484266072511673,0.1501384824514389,0.008933000266551971,6.271041393280029,22.341211318969727,0.2022571861743927
10,0,0.3,0.15,0.2,0.1705,300,True,nan,0.39128491282463074,0.21869343519210815,0.24252527952194214,0.16702240705490112,0.0017439882503822446,0.09735646843910217,0.07493623346090317,0.1514092981815338,0.0038903832901269197,3.858466625213623,6.404127597808838,0.18718667328357697
11,0,0.3,0.15,0.2,0.2,300,True,nan,0.38046354055404663,0.25265511870384216,0.09632712602615356,0.2103908360004425,0.0015358820091933012,0.08800486475229263,0.10804639756679535,0.23704560101032257,0.010503740049898624,3.298285722732544,6.167241096496582,0.17552275955677032
12,0,0.3,0.15,0.2,0.23,300,True,nan,0.3015475571155548,0.19794560968875885,0.04460156708955765,0.24191004037857056,0.0012117298319935799,0.03668740764260292,0.0598040409386158,0.3261374533176422,0.01197152491658926,2.421513080596924,4.649266719818115,0.14599981904029846
13,0,0.3,0.15,0.2,0.26,300,True,nan,0.21327829360961914,0.14337100088596344,0.00010311762162018567,0.28124675154685974,0.0022867610678076744,0.09869902580976486,0.04289272055029869,0.3218734860420227,0.02136947028338909,2.3746836185455322,4.700615882873535,0.11696479469537735
14,0,0.3,0.15,0.2,0.2932,205,False,6.12,0.2906497120857239,0.28663885593414307,0.1767541617155075,0.28477033972740173,0.03456105291843414,0.10977081209421158,0.19236969947814941,0.49893099069595337,0.03557422384619713,18.203384399414062,85.78072357177734,0.34487205743789673
