scenario_id,repeat,path_shape,reference_demo,requested_speed,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,target_progress_m,target_path_index,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,2.365148872541673e-06,True,20.0,0.09423338054219489,0.007108284160494804,4.0,100,0.19283358752727509,0.7413809299468994,0.051934510469436646,0.09105314314365387,0.18949340283870697,0.23543590307235718,0.9474670141935349,0.2982587218284607,4.313381671905518,0.13056661188602448
1,1,straight,,0.2,2.3651523829654648e-06,True,20.0,0.0843533612321931,0.006886167451739311,4.0,100,0.0819484144449234,0.8101608753204346,0.1399223804473877,0.12523549795150757,0.1853550374507904,0.219106063246727,0.926775187253952,0.2982071042060852,4.0530476570129395,0.12355002015829086
2,2,straight,,0.2,2.36515062776461e-06,True,20.0,0.09736339237389706,0.0070423707365989685,4.0,100,0.32413148880004883,0.9353668689727783,0.12630856037139893,0.0728021040558815,0.18264025449752808,0.2034771889448166,0.9132012724876404,0.29894039034843445,4.14225435256958,0.11772666126489639
3,0,straight,,0.4,2.2173286589901975e-06,True,20.0,0.020032020476415956,0.008263994008302689,8.0,200,1.9721369743347168,0.04827857017517089,0.014204527251422405,0.01739317737519741,0.500637412071228,0.5055866241455078,1.25159353017807,0.3010103106498718,4.052794933319092,0.1847674399614334
4,1,straight,,0.4,2.0695054826272872e-06,True,20.0,0.018489649286736496,0.008062946610152721,8.0,200,1.9793972969055176,0.06299042701721191,0.14188377559185028,0.04844747483730316,0.5000079870223999,0.5061662197113037,1.2500199675559998,0.300791472196579,4.008988380432129,0.18389305472373962
5,2,straight,,0.4,2.3651523829654648e-06,True,20.0,0.03772704028404171,0.0083889439702034,8.0,200,2.0383267402648926,0.036204878483907764,0.0035506838466972113,0.008195023983716965,0.502716600894928,0.5070387125015259,1.25679150223732,0.3009732663631439,4.1290082931518555,0.1891736537218094
6,0,straight,,0.6,2.3651523829654648e-06,True,20.0,0.03880050225432306,0.008212292566895485,10.000017166137695,249,0.05795852094888687,0.059284210205078125,0.0045068347826600075,0.007214231416583061,0.5032833814620972,0.5074619054794312,0.838805635770162,0.30107855796813965,3.780941963195801,0.1950666457414627
7,1,straight,,0.6,2.365148872541673e-06,True,20.0,0.04532128076841924,0.008057428523898125,10.000017166137695,249,0.09424067288637161,0.023664236068725586,0.002958918921649456,0.006652940530329943,0.5046042203903198,0.5129241943359375,0.8410070339838664,0.3004925549030304,3.863727331161499,0.20172657072544098
8,2,straight,,0.6,2.365150627670834e-06,True,20.0,0.023353532480016367,0.0081141022965312,9.999994277954102,249,0.017604071646928787,0.06087333360780914,0.011108393780887127,0.01149346586316824,0.5003819465637207,0.5077255368232727,0.8339699109395345,0.30094313621520996,3.887364149093628,0.19861142337322235
9,0,straight,,0.8,2.3651488727811154e-06,True,20.0,0.027572067967641924,0.00820496678352356,9.999994277954102,249,0.030709709972143173,0.021397415791647025,0.00047290336806327105,0.006775994319468737,0.5014842748641968,0.5074673891067505,0.626855343580246,0.3009435534477234,3.8385813236236572,0.21549874544143677
