scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_arrived,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,task_success_profile_height_mae_m,task_success_profile_height_within_tolerance_fraction,task_success_yaw_ok,task_success_terminal_height_ok,task_success_mean_speed_ok,task_success_profile_height_ok,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.054236251517374254,0.04374220222234726,0.032203901559114456,0.08332819864153862,0.6133333333333333,0.05300597473978996,0.04205529764294624,3.9897550344467163,100,0.014318356199472996,3.9897545576096913,3.9897546768188477,3.9897546768188477,1.0000000298788194,0.1662397782007853,0.8311988910039265,True,20.239999106824865,0.19712226945031625,0.9856113472515812,0.1662397782007853,0.8311988910039265,0.16690937951414572,1.192091563240183e-07,0.053120240569114685,0.10338771939277648,0.014318356199472996,True,True,True,19.0,0.12318322945692312,0.3043509165393277,0.0015407651662826538,0.00998708197945744,0.03961813474152561,0.549776377914985,True,True,True,True,-4.014311790466309,-0.00043392181396484375,0.11452323595155912,0.08779194205999374,0.11353924125432968,0.16554154455661774,0.21919433772563934,0.16675710678100586,0.8337855339050293,0.18063169717788696,11.6282320022583,0.4015163779258728
1,1,straight,,0.2,0.2800000011920929,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.06449609348734081,0.0412740558385849,0.034193966537714005,0.07810564562678336,0.45166666666666666,0.05214885249733925,0.04299626126885414,3.992025911808014,100,0.13787875164903177,3.992025434970989,3.992025375366211,3.992025375366211,0.9999999850690385,0.1663343906402588,0.831671953201294,True,20.04,0.19920286601651643,0.9960143300825821,0.1663343906402588,0.831671953201294,0.21761112236998742,-5.960477800215358e-08,0.06343033164739609,0.11932915300130845,0.13787875164903177,True,True,False,19.62,0.14540231652507687,0.0005715529071255393,0.09221498668193817,0.003467147552038141,0.0400779908299701,0.5976906001564778,True,False,True,False,-4.132663249969482,0.03756308555603027,0.06541919708251953,0.19718465209007263,0.2172497808933258,0.16695283353328705,0.22874923050403595,0.1716596484184265,0.8582982420921326,0.2044798880815506,11.906764030456543,0.41667643189430237
2,2,straight,,0.2,0.2800000011920929,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.09632932517296282,0.05986042693257332,0.04764424264431,0.12654423117637634,0.38333333333333336,0.059938110411167145,0.048186060041189194,3.9821271896362305,100,0.25501324285517446,3.9821267127992055,3.9821267127990723,3.9821267127990723,0.9999999999999666,0.16592194636662802,0.82960973183314,True,20.0,0.19910633563996027,0.9955316781998014,0.16592194636662802,0.82960973183314,0.07276259794257371,-1.3322676295501878e-13,0.09573164582252502,0.22986071780323977,0.25501324285517446,True,True,False,19.38,0.1277010785632079,0.375356737767355,0.08142858743667603,0.005476094571682438,0.03426076353806984,0.7167829794394568,True,False,True,True,-4.251498699188232,0.04219156503677368,0.4475422541247769,0.005449559073895216,0.11907096952199936,0.17391157150268555,0.22174449265003204,0.1762259602546692,0.881129801273346,0.19325748085975647,12.26723861694336,0.40155524015426636
3,0,straight,,0.35,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.055717679732503494,0.045210327953100204,0.03493668511509895,0.09433496370911597,0.61,0.03487475588917732,0.026519615203142166,4.000000476837158,100,0.0884764160310793,4.000000000000133,4.0,4.0,0.9999999999999667,0.16666666666666666,0.4761904761904762,True,11.8,0.3389830508474689,0.9685230024213397,0.16666666666666666,0.4761904761904762,0.17609486537274752,-1.3322676295501878e-13,0.054970648139715195,0.0947697065770626,0.0884764160310793,True,True,False,9.42,0.12352305359614044,0.22381216684450347,0.00647541880607605,0.0746284501061713,0.04517222283188593,0.4725679602686726,True,True,True,False,-4.030999183654785,-0.08286848664283752,0.1604604721069336,0.15970994532108307,0.16772453486919403,0.16888858377933502,0.24670273065567017,0.16777366399765015,0.4793533257075719,0.17070084810256958,10.64663028717041,0.4008016586303711
4,1,straight,,0.35,0.2800000011920929,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.07327756276163018,0.03683863952755928,0.025517664849758148,0.08752608448266981,0.7033333333333334,0.05705198645591736,0.03863559290766716,4.000000476837158,100,0.15335085807379778,4.000000000000133,4.0,4.0,0.9999999999999667,0.16666666666666666,0.4761904761904762,True,11.48,0.3484320557491405,0.9955201592832587,0.16666666666666666,0.4761904761904762,0.16079846927153105,-1.3322676295501878e-13,0.07280947268009186,0.11454233191907405,0.15335085807379778,True,True,False,10.1,0.14986720211885196,0.044132057820455615,0.11429539322853088,0.04603960396040929,0.042209727975959746,0.5814613397246219,True,False,True,False,-4.14727783203125,-0.04272887110710144,0.08229786554445463,0.11348267644643784,0.1343795508146286,0.17179757356643677,0.2729034423828125,0.17286600172519684,0.493902862071991,0.2420833557844162,9.00390625,0.490490198135376
5,2,straight,,0.35,0.2800000011920929,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.22175643522028182,0.05334552004933357,0.04511452466249466,0.10343091040849685,0.31666666666666665,0.06814558804035187,0.06000170484185219,4.000000476837158,100,0.37091201308257477,4.000000000000133,4.0,4.0,0.9999999999999667,0.16666666666666666,0.4761904761904762,True,11.42,0.35026269702277874,1.000750562922225,0.16666666666666666,0.4761904761904762,0.08949321816093757,-1.3322676295501878e-13,0.22161881625652313,0.38095016330480574,0.37091201308257477,True,True,False,11.18,0.12156590197364214,0.0049936771392822266,0.041268885135650635,0.007781753130602309,0.04962160871371323,0.5646490111497423,True,True,True,False,-4.260646343231201,-0.2638927698135376,0.7985771338092252,0.25780364871025085,0.13527034223079681,0.18930423259735107,0.2593539357185364,0.17855753004550934,0.5101643715585982,0.1955268234014511,12.358098030090332,0.4027567207813263
6,0,straight,,0.5,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705,5,5,4,2.2068101356081064e-06,True,False,False,24.0,0.05265428791380897,0.035277917981147766,0.028125857934355736,0.07584964483976363,0.7075,0.030877701938152313,0.024687081575393677,3.9943065643310547,100,0.1081726324386073,3.9943060874940297,3.9943060874938965,3.9943060874938965,0.9999999999999667,0.1664294203122457,0.3328588406244914,True,7.78,0.5134069521200553,1.0268139042401105,0.1664294203122457,0.3328588406244914,0.11076937469153554,-1.3322676295501878e-13,0.05196728929877281,0.09375989064574242,0.1081726324386073,True,True,False,7.4,0.1158706049372239,0.05138206481933594,0.0009872764348983765,0.03977109290459857,0.04886170319760683,0.4470967646371992,True,True,True,False,-4.025564193725586,-0.1051088273525238,0.00805908838381011,0.043865352869033813,0.10297348350286484,0.1680043488740921,0.2508077621459961,0.16730985045433044,0.3346197009086609,0.16652660071849823,10.189560890197754,0.407824844121933
7,1,straight,,0.5,0.2800000011920929,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932,5,5,4,2.2068101356081064e-06,True,False,False,24.0,0.08166542117587221,0.03296416997909546,0.020042989403009415,0.0930481985211372,0.8233333333333334,0.04436580836772919,0.027158547192811966,3.992932915687561,100,0.1747429312676293,3.992932438850536,3.9929323196411133,3.9929323196411133,0.9999999701448936,0.1663721799850464,0.3327443599700928,False,nan,nan,nan,0.1663721799850464,0.3327443599700928,0.09247837158351094,-1.192094227775442e-07,0.07902564108371735,0.16412886828184126,0.1747429312676293,True,True,False,7.6000000000000005,0.14836031320092455,0.23601085344423492,0.09953877329826355,0.02538584721717574,0.04257167209859513,0.5994827233349515,True,False,True,False,-4.158151626586914,0.0743175745010376,0.07232713699340819,0.2641708552837372,0.20010171830654144,0.17467030882835388,0.300534725189209,0.17310361564159393,0.34620723128318787,0.2575530707836151,8.250496864318848,0.49854961037635803
8,2,straight,,0.5,0.2800000011920929,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500,5,5,4,2.2068101356081064e-06,True,False,False,24.0,0.2086573535353382,0.05346042662858963,0.04622344300150871,0.09819656237959862,0.345,0.05553328990936279,0.049484800547361374,3.99997079372406,100,0.24304704560434343,3.999970316887035,3.9970626831054688,3.9999704360961914,0.999273086160342,0.16654427846272787,0.33308855692545575,True,8.219998285912098,0.48661449525389955,0.9732289905077991,0.16654427846272787,0.33308855692545575,0.06541348530493166,-0.0029076337815663322,0.20852071046829224,0.3469996899366379,0.24304704560434343,True,True,False,7.5600000000000005,0.1273404768255496,0.0649438540088101,0.08168546855449677,0.029096602762835322,0.050703184465218626,0.523874074340884,True,False,True,False,-3.9970924854278564,-0.24303001165390015,2.079875532780783,0.251592755317688,0.14097371697425842,0.19076479971408844,0.2691780626773834,0.16709500551223755,0.3341900110244751,0.20286552608013153,12.99771499633789,0.4077214002609253
9,0,circle,,0.2,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705,5,5,5,0.6639431209223358,True,False,False,24.0,0.04472479910979843,0.0646151676774025,0.05092920362949371,0.13429230973124504,0.39666666666666667,0.03954540193080902,0.030356857925653458,4.000000476837158,71,0.04331305771698543,4.000000011613284,4.0,4.0,0.9999999970966791,0.16666666666666666,0.8333333333333333,True,20.22,0.19782393727068665,0.9891196863534332,0.16666666666666666,0.8333333333333333,0.11990077432931837,-1.1613283668054919e-08,0.04182407259941101,0.08364419117569923,0.04331305771698543,True,True,False,18.72,0.12627864306167064,0.4914162755012513,0.004754766821861267,0.013675214295581384,0.04538239479454587,0.47781113255340596,False,True,True,False,-0.6654714941978455,-2.795496702194214,0.46598565578460693,0.07170096784830093,0.12195369601249695,0.16716539859771729,0.23153290152549744,0.16881658136844635,0.8440829068422318,0.1746612936258316,11.701810836791992,0.4167092740535736
