scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,1.0,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,12.0,0.045880174203221005,0.017405759543180466,0.01343985553830862,0.017405759543180466,0.01343985553830862,9.989761233329773,249,0.0264979031750901,9.989754557609873,9.989754676818848,9.989754676818848,1.0000000119331236,0.8324795564015707,0.8324795564015707,True,10.839997362876154,0.9215642977757433,0.9215642977757433,0.8324795564015707,0.8324795564015707,0.3917562806854557,1.1920897513562068e-07,0.04447874426841736,0.12119038775563232,0.0264979031750901,True,True,10.68,0.11461038808684301,0.28335291544069485,0.005750834941864014,-0.06462972307023662,-10.02608585357666,0.0046539306640625,0.38421630859375,0.2292613983154297,0.22654283046722412,0.8297730088233948,0.8630494475364685,0.8352134227752686,0.8352134227752686,0.2856374680995941,6.143407821655273,0.3258272409439087
1,0,straight,,1.2,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,12.0,0.0727131055599846,0.016464656218886375,0.015215417370200157,0.016464656218886375,0.015215417370200157,9.99203211069107,249,0.1201477263283437,9.99202543497117,9.992025375366211,9.992025375366211,0.999999994034747,0.8326687812805176,0.693890651067098,True,9.200000000000001,1.0860897211925185,0.905074767660432,0.8326687812805176,0.693890651067098,0.3659908121253024,-5.96049591905512e-08,0.07194947451353073,0.14976230412721633,0.1201477263283437,True,False,9.040000000000001,0.12348547804524386,0.054825846348898005,0.017779499292373657,-0.09468745188372019,-10.117101669311523,-0.026883482933044434,0.04639131227602202,0.03801487013697624,0.048614077270030975,0.8422423601150513,0.8692320585250854,0.8430705666542053,0.7025588055451711,0.29480117559432983,3.833040237426758,0.30752792954444885
2,0,straight,,1.5,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,7.68,0.0543248804279723,0.017736127600073814,0.012007026001811028,0.017736127600073814,0.012007026001811028,9.982133388519287,249,0.5414145345044468,9.982126712799387,9.442462921142578,9.442462921142578,0.9459369924682648,0.7868719100952148,0.5245812733968099,False,nan,nan,nan,1.2326975092875427,0.8217983395250285,0.8837046986523044,-0.5396637916568086,0.05302765592932701,0.10999028682708735,0.5414145345044468,True,False,nan,nan,nan,nan,nan,-9.460336685180664,-0.04351183772087097,0.34087115923036776,1.1588886976242065,1.0643752813339233,1.2309401035308838,1.2428323030471802,1.235255479812622,0.8235036532084147,0.28747254610061646,6.996185779571533,0.3855960965156555
