scenario_id,repeat,path_shape,reference_demo,requested_speed,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.4,2.365151505290278e-06,True,50.0,0.04486886502572056,0.1304740458726883,0.0374479778110981,0.5675418376922607,0.016809334978461266,0.027623102068901062,0.018086405470967293,0.21630454063415527,0.04521601367741823,0.16301600635051727,5.354252815246582,0.17311984300613403
1,1,straight,,0.4,2.143417567721997e-06,True,50.0,0.03765710021829312,0.1299428790807724,0.026620063930749893,0.6578230857849121,0.025733528658747673,0.018206752836704254,0.055151671171188354,0.21349972486495972,0.1378791779279709,0.16349835693836212,5.559284687042236,0.18188415467739105
2,2,straight,,0.4,2.365151505290278e-06,True,50.0,0.03994118640069423,0.1296427696943283,0.02165391482412815,0.8192272186279297,0.02626231126487255,0.018899671733379364,0.04315252974629402,0.21794793009757996,0.10788132436573505,0.16381725668907166,5.879112243652344,0.17668335139751434
3,3,straight,,0.4,2.3651517246810975e-06,True,50.0,0.04478467693603033,0.12984418869018555,0.03398880735039711,0.9003479480743408,0.0487348809838295,0.04791436716914177,0.05028737708926201,0.22607438266277313,0.12571844272315502,0.16360090672969818,5.490780353546143,0.17786692082881927
4,4,straight,,0.4,2.1434166699242666e-06,True,50.0,0.04268970694732409,0.12994420528411865,0.03437342122197151,0.4357025623321534,0.01800007000565529,0.014596049673855305,0.03486175462603569,0.2144283652305603,0.08715438656508923,0.16352766752243042,5.4609246253967285,0.17472264170646667
5,0,circle,,0.4,0.6628243904526062,False,0.6,2.0793679921759183,0.0841289758682251,2.1213202476501465,1.5897216240512295,0.21525615453720093,0.5209283828735352,0.48453837633132935,0.5209283828735352,1.2113459408283234,0.23213090002536774,9.217236518859863,1.244979739189148
6,1,circle,,0.4,0.6628243612737856,False,0.46,2.0425460527883605,0.09955506026744843,2.1213202476501465,1.5897216240512295,0.26329466700553894,0.5140942931175232,0.480467826128006,0.5140942931175232,1.201169565320015,0.23170976340770721,8.601845741271973,1.1269783973693848
7,2,circle,,0.4,0.6628243564285727,False,0.44,2.0829432672772383,0.08676189929246902,2.1213204860687256,1.5897216240512295,0.272400438785553,0.5190792083740234,0.45609551668167114,0.5190792083740234,1.1402387917041779,0.24279388785362244,7.766470909118652,1.0787442922592163
8,3,circle,,0.4,0.6628243571747507,False,0.7000000000000001,2.080127524490639,0.09893418103456497,2.1213204860687256,1.5897216240512295,0.25437989830970764,0.48056885600090027,0.42047879099845886,0.48056885600090027,1.0511969774961472,0.21758636832237244,16.02394676208496,1.131760597229004
9,4,circle,,0.4,0.662824489239073,False,0.56,2.076300254416528,0.08988592028617859,2.1213202476501465,1.5897216240512295,0.2150518000125885,0.5255324244499207,0.5080846548080444,0.5255324244499207,1.270211637020111,0.2306709736585617,10.177353858947754,1.0718889236450195
10,0,s_curve,,0.4,0.19313734024001486,True,50.0,0.042030308880421155,0.12995655834674835,0.040387459099292755,0.3674970308886929,0.013976994901895523,0.033460602164268494,0.03503945469856262,0.2241373062133789,0.08759863674640656,0.16353464126586914,5.746200084686279,0.1776578277349472
11,1,s_curve,,0.4,0.19313718698575127,True,50.0,0.04178386561658526,0.13003800809383392,0.03397974744439125,0.6289809385882779,0.015432377345860004,0.025742072612047195,0.027113260701298714,0.22300204634666443,0.06778315175324678,0.16344940662384033,5.6688408851623535,0.17699724435806274
12,2,s_curve,,0.4,0.1931374259112567,True,50.0,0.04368829073417036,0.12977413833141327,0.03502187132835388,0.41966182390321927,0.017608482390642166,0.017960023134946823,0.01947152614593506,0.22021274268627167,0.048678815364837646,0.1636955589056015,5.837896347045898,0.17865099012851715
13,3,s_curve,,0.4,0.19313718053033072,True,50.0,0.03880985372871974,0.12911388278007507,0.034167636185884476,0.623417679463522,0.009769788011908531,0.018236106261610985,0.05669145658612251,0.22345048189163208,0.14172864146530628,0.1643645465373993,6.186376094818115,0.18615593016147614
14,4,s_curve,,0.4,0.19313702727787171,True,50.0,0.03511386808961795,0.12757830321788788,0.03786998987197876,0.34888226190675936,0.027042658999562263,0.022127749398350716,0.01738809235394001,0.22069738805294037,0.043470230884850025,0.16584797203540802,6.924836158752441,0.1804765909910202
