scenario_id,repeat,requested_vx,requested_vy,requested_wz,requested_height,samples,survived,time_to_failure_s,achieved_vx_mean,achieved_vy_mean,achieved_wz_mean,achieved_height_mean,achieved_height_std,vx_rmse,vy_rmse,wz_rmse,height_rmse,tilt_rms_deg,tilt_max_deg,action_delta_rms
0,0,0.0,0.0,0.0,0.1705,300,True,nan,-0.0016665863804519176,0.0003429660282563418,-0.005134554114192724,0.17307253181934357,0.0014106141170486808,0.0303458571434021,0.01694508269429207,0.07797648757696152,0.00293390522710979,0.8503037095069885,1.9702186584472656,0.057766225188970566
1,0,0.0,0.0,0.0,0.2,300,True,nan,-0.009600119665265083,0.0002541654394008219,-0.007935242727398872,0.21648158133029938,0.0011654505506157875,0.039997685700654984,0.027115540578961372,0.13022814691066742,0.016522742807865143,1.184985876083374,2.5246307849884033,0.062175653874874115
2,0,0.0,0.0,0.0,0.23,300,True,nan,-0.00882908795028925,-0.00210124091245234,-0.00846807286143303,0.246791273355484,0.0020288568921387196,0.060189470648765564,0.01917724870145321,0.09805002808570862,0.016913393512368202,1.3009613752365112,2.433793306350708,0.07070344686508179
3,0,0.0,0.0,0.0,0.26,300,True,nan,-0.002425671089440584,0.008100762031972408,-0.0037530565168708563,0.27292296290397644,0.0027778251096606255,0.03362170234322548,0.023047661408782005,0.07796035706996918,0.013218154199421406,1.6300779581069946,3.6094093322753906,0.056464146822690964
4,0,0.0,0.0,0.0,0.2932,300,True,nan,-0.0018747965805232525,0.010688990354537964,-0.05751613527536392,0.29604801535606384,0.0034440970048308372,0.05109592527151108,0.06266848742961884,0.19075919687747955,0.004469119943678379,2.7709012031555176,5.663005352020264,0.06957192718982697
5,0,0.4,0.0,0.0,0.1705,300,True,nan,0.4716869592666626,0.010001079179346561,0.014137811958789825,0.16713649034500122,0.002029381226748228,0.08738470077514648,0.03223990648984909,0.20721778273582458,0.0039283111691474915,3.1201059818267822,4.884191036224365,0.166840597987175
6,0,0.4,0.0,0.0,0.2,300,True,nan,0.4510519504547119,0.01803598925471306,-0.053600210696458817,0.21079610288143158,0.0019617758225649595,0.07139662653207779,0.03740806132555008,0.37421464920043945,0.010972885414958,2.6012701988220215,4.400566101074219,0.1532503366470337
7,0,0.4,0.0,0.0,0.23,300,True,nan,0.3261268436908722,0.023143265396356583,-0.0401092991232872,0.2415684461593628,0.0023199983406811953,0.08876024186611176,0.04521089419722557,0.4503551125526428,0.011798779480159283,2.1904306411743164,3.9097611904144287,0.134804368019104
8,0,0.4,0.0,0.0,0.26,300,True,nan,0.2910500466823578,0.028930485248565674,-0.0004995270282961428,0.2797844111919403,0.0019517880864441395,0.12031901627779007,0.0419645830988884,0.26280510425567627,0.019880468025803566,1.9774508476257324,3.8489904403686523,0.12032181024551392
9,0,0.4,0.0,0.0,0.2932,300,True,nan,0.3624693751335144,0.03440193086862564,-0.01365817990154028,0.2999347746372223,0.0022072833962738514,0.06437413394451141,0.05634598433971405,0.10497856885194778,0.007087268866598606,2.575446128845215,6.7384209632873535,0.133125439286232
10,0,0.3,0.15,0.2,0.1705,300,True,nan,0.37901753187179565,0.19027823209762573,0.16797122359275818,0.1679757684469223,0.002197396010160446,0.0929674506187439,0.056130971759557724,0.17013339698314667,0.003346680663526058,3.691066265106201,6.662184715270996,0.17275671660900116
11,0,0.3,0.15,0.2,0.2,300,True,nan,0.3256472051143646,0.18758612871170044,0.053074873983860016,0.21260958909988403,0.0023536859080195427,0.06207995489239693,0.060237158089876175,0.3248525857925415,0.012827368453145027,3.133620262145996,5.483305931091309,0.15344871580600739
12,0,0.3,0.15,0.2,0.23,300,True,nan,0.2248554676771164,0.15433315932750702,0.018373679369688034,0.24545730650424957,0.0015853069489821792,0.09046230465173721,0.03369627520442009,0.38355758786201477,0.015538386069238186,2.549217462539673,5.068027019500732,0.1289980411529541
13,0,0.3,0.15,0.2,0.26,300,True,nan,0.20705226063728333,0.12915970385074615,0.06636650115251541,0.28080040216445923,0.002035780344158411,0.10906471312046051,0.03677484393119812,0.24573984742164612,0.02089979313313961,2.4469707012176514,4.945807933807373,0.11525040119886398
14,0,0.3,0.15,0.2,0.2932,300,True,nan,0.26117390394210815,0.18440844118595123,0.07078149914741516,0.3013600707054138,0.0031270624604076147,0.0720522403717041,0.05590192601084709,0.21143792569637299,0.008738706819713116,3.2831649780273438,9.27828311920166,0.12527179718017578
