scenario_id,repeat,path_shape,reference_demo,requested_speed,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,target_progress_m,target_path_index,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,2.365148872541673e-06,True,20.0,0.013998870422279973,0.015481757931411266,4.0,100,3.7465474605560303,0.11913401285280426,0.39174750447273254,0.39942672848701477,0.38358092308044434,0.390472412109375,0.38847994804382324,1.9423997402191162,0.16199646890163422,4.697262287139893,0.17238691449165344
1,1,straight,,0.2,2.3651523829654648e-06,True,20.0,0.013937104185533325,0.01484979409724474,4.0,100,3.7913482189178467,0.06129748026003081,0.39189523458480835,0.4177965819835663,0.3902903199195862,0.3963681757450104,0.39132261276245117,1.9566130638122559,0.16191790997982025,4.698134899139404,0.1722240447998047
2,2,straight,,0.2,2.36515062776461e-06,True,20.0,0.019076505258062267,0.01531233824789524,4.0,100,3.9558029174804688,0.12798267999757965,0.4163089990615845,0.42562323808670044,0.38679343461990356,0.4043737053871155,0.3995729386806488,1.997864693403244,0.16270245611667633,4.956556797027588,0.177781343460083
3,0,straight,,0.4,2.2173286589901975e-06,True,20.0,0.022401284231076707,0.016565877944231033,8.0,200,1.977314829826355,0.06064087549318511,0.02984374202787876,0.04540058597922325,0.4910818934440613,0.5114287734031677,0.5018033981323242,1.2545084953308105,0.16038453578948975,5.421463966369629,0.20528565347194672
4,1,straight,,0.4,2.0695054826272872e-06,True,20.0,0.01967984789118224,0.01691698282957077,8.0,200,1.9952243566513062,0.11807066599001129,0.028546374291181564,0.021292442455887794,0.4891650080680847,0.507931113243103,0.501441478729248,1.2536036968231201,0.16008102893829346,5.429365158081055,0.20522014796733856
5,2,straight,,0.4,2.3651523829654648e-06,True,20.0,0.01873936225712437,0.01686597429215908,8.0,200,1.9840326309204102,0.016115967427389213,0.03383622691035271,0.02120986208319664,0.49058014154434204,0.5075369477272034,0.5015115141868591,1.2537787854671478,0.1602405458688736,5.395719528198242,0.20438547432422638
6,0,straight,,0.6,2.3651523829654648e-06,True,20.0,0.025826786609966002,0.01861976832151413,10.000017166137695,249,0.022139888256788254,0.0034868717193603516,0.01502755656838417,0.030581381171941757,0.493266224861145,0.5158905386924744,0.5018150806427002,0.8363584677378337,0.1586405336856842,5.059228420257568,0.2092454582452774
7,1,straight,,0.6,2.365148872541673e-06,True,20.0,0.02006475198945064,0.01829088293015957,10.000017166137695,249,0.019419921562075615,0.020609919224874564,0.012104415334761143,0.012159427627921104,0.48603448271751404,0.5066550970077515,0.5014696717262268,0.835782786210378,0.1588374227285385,5.009424686431885,0.21127822995185852
8,2,straight,,0.6,2.365150627670834e-06,True,20.0,0.021913884001096735,0.01852281391620636,9.999994277954102,249,0.019313707947731018,0.029702186584472656,0.02333107404410839,0.01589173823595047,0.4957764148712158,0.5096957683563232,0.5016656517982483,0.8361094196637472,0.15827132761478424,4.899055004119873,0.20669710636138916
9,0,straight,,0.8,2.3651488727811154e-06,True,20.0,0.023235104064643696,0.019992047920823097,9.999994277954102,249,0.02445409446954727,0.0738838354693814,0.01934635452926159,0.01347122061997652,0.4983862638473511,0.5132559537887573,0.5012941956520081,0.6266177445650101,0.1564466953277588,4.466148853302002,0.2115115225315094
10,1,straight,,0.8,2.3651510939357154e-06,True,20.0,0.029243013902003474,0.019573088735342026,9.999994277954102,249,0.015742549672722816,0.0384977499591275,0.01165721844881773,0.012152198702096939,0.496817409992218,0.5179840326309204,0.5011796951293945,0.6264746189117432,0.15747100114822388,4.536807537078857,0.21453902125358582
11,2,straight,,0.8,2.217327442782451e-06,True,20.0,0.024134286449066945,0.019959425553679466,9.999994277954102,249,0.03509197384119034,0.006791893635885306,0.03564164415001869,0.021610567346215248,0.49658656120300293,0.5086170434951782,0.5019510984420776,0.627438873052597,0.15609927475452423,4.703442096710205,0.2130107581615448
12,0,straight,,1.0,2.06950627795577e-06,True,20.0,0.019643107106329587,0.021251928061246872,9.999994277954102,249,0.015701480209827423,0.039275407791137695,0.026509525254368782,0.017692185938358307,0.5007198452949524,0.5100407600402832,0.5019242763519287,0.5019242763519287,0.15386003255844116,4.3006744384765625,0.22077378630638123
13,1,straight,,1.0,2.3651488727811154e-06,False,5.22,0.21594692827890993,0.036754537373781204,9.999994277954102,249,10.0,0.0,0.1284874677658081,0.5519539713859558,0.5759060382843018,0.6039965748786926,0.5956020951271057,0.5956020951271057,0.15137864649295807,5.965045928955078,0.28779137134552
14,2,straight,,1.0,2.3651488727811154e-06,False,2.58,0.1389814738841555,0.046886146068573,9.999994277954102,249,10.0,0.0,0.2670120298862457,0.49073565006256104,0.5216575264930725,0.5348406434059143,0.5303027629852295,0.5303027629852295,0.15780438482761383,7.020434856414795,0.27826935052871704
15,0,circle,,0.2,0.6628238287248387,True,20.0,0.022714332884029072,0.015059773810207844,4.0,71,2.962014675140381,0.6476692855358124,0.5359683632850647,0.49447983503341675,-0.04718228057026863,0.47467806935310364,0.4688423275947571,2.3442116379737854,0.162567600607872,6.6146721839904785,0.21280087530612946
16,1,circle,,0.2,0.6628230956474627,True,20.0,0.025199337237549968,0.01571493223309517,4.0,71,2.9893076419830322,0.13017967343330383,0.3411110043525696,0.47266727685928345,-0.036221038550138474,0.4621579945087433,0.45373430848121643,2.268671542406082,0.16298039257526398,6.474291801452637,0.20815353095531464
17,2,circle,,0.2,0.6628238346590114,True,20.0,0.019883378741500615,0.015115838497877121,4.0,71,2.9877684116363525,0.18086665868759155,0.529426634311676,0.49661585688591003,0.03470002859830856,0.4546087384223938,0.4519495368003845,2.2597476840019226,0.16273169219493866,6.368223667144775,0.20739376544952393
18,0,circle,,0.4,0.6628245674202531,True,20.0,0.02716434664751672,0.0166737362742424,8.0,141,2.871462345123291,2.446017026901245,0.582690417766571,0.6197813749313354,-0.1943991631269455,0.597695529460907,0.5898745059967041,1.4746862649917603,0.1615898758172989,7.639824390411377,0.2563266456127167
19,1,circle,,0.4,0.6628244934432387,True,20.0,0.026827996817122172,0.017098020762205124,8.0,141,2.824944496154785,2.715856969356537,0.5746673941612244,0.5815389752388,-0.14444470405578613,0.5946494340896606,0.5856772661209106,1.4641931653022766,0.1615891009569168,7.613338947296143,0.25305891036987305
20,2,circle,,0.4,0.662824643135019,True,20.0,0.03492612257699551,0.016640400514006615,8.0,141,2.8724477291107178,2.4494713246822357,0.5467323660850525,0.5839115381240845,-0.16676025092601776,0.6006581783294678,0.5918586850166321,1.4796467125415802,0.16161005198955536,7.564669132232666,0.25585272908210754
21,0,circle,,0.6,0.6628246095337567,True,20.0,0.030369587676263427,0.01868821308016777,12.0,212,1.1576147079467773,2.2733032147036956,0.6826151609420776,0.6459617614746094,-0.21631242334842682,0.665400505065918,0.6588659882545471,1.0981099804242453,0.15865206718444824,8.199155807495117,0.29136356711387634
22,1,circle,,0.6,0.6628245658050873,True,20.0,0.029256236331485812,0.017881689593195915,12.0,212,1.1145418882369995,1.8476170937167569,0.6139015555381775,0.6479371786117554,-0.1264694631099701,0.6595490574836731,0.6554911136627197,1.0924851894378662,0.15942178666591644,8.612142562866211,0.29935622215270996
23,2,circle,,0.6,0.6628238313620882,True,20.0,0.03315846539795444,0.017815805971622467,12.0,212,1.1526795625686646,1.6391416788101196,0.6486021280288696,0.6670083403587341,-0.13206470012664795,0.6636791825294495,0.6557541489601135,1.0929235816001892,0.16002142429351807,8.74437427520752,0.3011188209056854
24,0,circle,,0.8,0.6628230954545046,True,20.0,0.045332475937245945,0.019154313951730728,14.13631534576416,249,0.6423110961914062,2.552077790722251,0.513809859752655,0.5973676443099976,-0.032716043293476105,0.6642063856124878,0.6605442762374878,0.8256803452968597,0.15950442850589752,9.849308967590332,0.3388489782810211
25,1,circle,,0.8,0.6628238344772175,True,20.0,0.04615137846505501,0.01822947897017002,14.136310577392578,249,0.5799530744552612,2.5170781817287207,0.5250178575515747,0.6198799014091492,-0.009012062102556229,0.6720342636108398,0.6659643054008484,0.8324553817510605,0.1600744128227234,9.864293098449707,0.3373333215713501
26,2,circle,,0.8,0.6628245672152905,True,20.0,0.044720973786464835,0.017796006053686142,14.136309623718262,249,0.6307111978530884,2.4589412417262793,0.4314388930797577,0.648740828037262,-0.05348147451877594,0.6694669127464294,0.6669635772705078,0.8337044715881348,0.1593659669160843,9.947976112365723,0.34135329723358154
27,0,circle,,1.0,0.6628244932484765,False,3.44,0.14849060475276413,0.043757859617471695,14.136307716369629,249,3.0,3.122667333111167,0.2393254190683365,0.473580926656723,0.5435848832130432,0.569610059261322,0.546077311038971,0.546077311038971,0.15488101541996002,6.806455135345459,0.30128711462020874
28,1,circle,,1.0,0.662824642935101,False,2.88,0.194469674022859,0.04673772305250168,14.136306762695312,249,3.0,3.122667333111167,0.11293021589517593,0.5311241745948792,0.5692588686943054,0.5870630741119385,0.5720270872116089,0.5720270872116089,0.16352462768554688,7.528834342956543,0.30214911699295044
29,2,circle,,1.0,0.6628246093429365,True,20.0,0.07662066362002007,0.018349479883909225,14.136307716369629,249,0.9335986971855164,2.675181647762656,0.5930567979812622,0.6579579710960388,-0.04843110218644142,0.6439207792282104,0.6381767392158508,0.6381767392158508,0.15894000232219696,10.418339729309082,0.36146581172943115
30,0,s_curve,,0.2,0.19313934524882292,True,20.0,0.013820405718319478,0.015320442616939545,4.0,97,3.9095442295074463,0.11679744720458984,0.41881826519966125,0.43030768632888794,0.39310920238494873,0.4002562463283539,0.39905643463134766,1.9952821731567383,0.1621207296848297,4.849811553955078,0.17665906250476837
31,1,s_curve,,0.2,0.19313866614249015,True,20.0,0.014790306488941184,0.01550709456205368,4.0,97,3.943081855773926,0.08540964126586914,0.40993157029151917,0.4089258313179016,0.39302191138267517,0.4024564325809479,0.4009656310081482,2.004828155040741,0.16210947930812836,4.924935340881348,0.17754346132278442
32,2,s_curve,,0.2,0.19314009662732376,True,20.0,0.014565098024196527,0.01531735435128212,4.0,97,3.823115587234497,0.19826704660524566,0.43159687519073486,0.4530854821205139,0.39100682735443115,0.39596429467201233,0.3943323493003845,1.9716617465019226,0.16228193044662476,4.795956611633301,0.17498455941677094
33,0,s_curve,,0.4,0.19313906960731264,True,20.0,0.027106243213124125,0.017347417771816254,8.0,195,2.262481212615967,0.12968802452087402,0.031275153160095215,0.048636361956596375,0.5033420324325562,0.5305733680725098,0.5155747532844543,1.2889368832111359,0.16048644483089447,5.743219375610352,0.21050477027893066
34,1,s_curve,,0.4,0.19313706118502336,True,20.0,0.017682722232674326,0.016984596848487854,8.0,195,2.2469708919525146,0.09142231941223145,0.037767719477415085,0.028988337144255638,0.5046123266220093,0.5189220905303955,0.5145601034164429,1.2864002585411072,0.16019146144390106,5.351619720458984,0.2073327600955963
35,2,s_curve,,0.4,0.1931373107203231,True,20.0,0.021425945252076105,0.016940558329224586,8.0,195,2.2346444129943848,0.11957120895385742,0.030723972246050835,0.04926294833421707,0.5021438002586365,0.5231016874313354,0.514385998249054,1.2859649956226349,0.16048140823841095,5.559454441070557,0.20879174768924713
36,0,s_curve,,0.6,0.19313764558739102,True,20.0,0.02103946582479229,0.01777489483356476,10.252306938171387,249,0.02705790288746357,0.07621407508850098,0.03137288987636566,0.023593844845891,0.5055062174797058,0.5219764113426208,0.5153842568397522,0.858973761399587,0.15797989070415497,5.012224197387695,0.21200528740882874
37,1,s_curve,,0.6,0.19313906960707775,True,20.0,0.023384133712681696,0.018267858773469925,10.25230598449707,249,0.005920147057622671,0.08416748046875,0.03245234861969948,0.011352620087563992,0.502739429473877,0.5294368267059326,0.5149471163749695,0.8582451939582825,0.15874479711055756,5.119079113006592,0.21643993258476257
38,2,s_curve,,0.6,0.19313906960731264,True,20.0,0.021830756007705045,0.018493738025426865,10.25230598449707,249,0.027809521183371544,0.028063535690307617,0.01799139380455017,0.01981731690466404,0.4998878836631775,0.5212315320968628,0.5155153870582581,0.8591923117637634,0.1584150642156601,5.205593585968018,0.21628578007221222
39,0,s_curve,,0.8,0.19313839045546952,True,20.0,0.024046821794850803,0.020073479041457176,10.25230598449707,249,0.03540569543838501,0.12774252891540527,0.00394949596375227,0.01642388291656971,0.5072216987609863,0.5239057540893555,0.5153478980064392,0.644184872508049,0.1558210402727127,5.061147212982178,0.22020240128040314
40,1,s_curve,,0.8,0.19314005817671262,True,20.0,0.025170023251559835,0.01900794543325901,10.252310752868652,249,0.019465230405330658,0.058480024337768555,0.009939621202647686,0.027867788448929787,0.510881781578064,0.5295175313949585,0.5166792273521423,0.6458490341901779,0.15648140013217926,4.772256851196289,0.2189788669347763
