scenario,path_shape,repeat,requested_speed_m_s,progress_start_m,progress_end_m,required_height_m,tangent_speed_mean_m_s,speed_error_mean_m_s,schedule_error_mean_m,samples
0,right_angle,0,0.4000000059604645,0.0,0.8,0.23184999823570251,0.4025284503198539,0.0025284443593894443,-0.062291662159065266,96
0,right_angle,0,0.4000000059604645,0.8,1.6,0.23184999823570251,0.525065823808893,0.1250658178484285,0.08644156499652159,77
0,right_angle,0,0.4000000059604645,1.6,2.4000000000000004,0.23184999823570251,0.44716268132130305,0.047162675360838575,0.23788618011607124,90
0,right_angle,0,0.4000000059604645,2.4000000000000004,3.2,0.23184999823570251,0.5478546372423433,0.14785463128187884,0.4538295722546651,73
0,right_angle,0,0.4000000059604645,3.2,4.0,0.23184999823570251,0.5236241613563738,0.12362415539590936,0.6105440240376886,76
0,right_angle,0,0.4000000059604645,4.0,4.800000000000001,0.23184999823570251,0.5317645653298027,0.13176455936933817,0.8064924193652064,76
0,right_angle,0,0.4000000059604645,4.800000000000001,5.6000000000000005,0.23184999823570251,0.46900406256318095,0.06900405660271644,1.016085782349111,80
0,right_angle,0,0.4000000059604645,5.6000000000000005,6.4,0.23184999823570251,0.5615113641040913,0.16151135814362677,1.1801134483745148,69
0,right_angle,0,0.4000000059604645,6.4,7.2,0.23184999823570251,0.44224236058917915,0.042242354628714646,1.3455596253492634,88
0,right_angle,0,0.4000000059604645,7.2,8.0,0.23184999823570251,0.5507912656215772,0.15079125966111276,1.5224237109651324,73
0,right_angle,0,0.4000000059604645,8.0,8.8,0.23184999823570251,0.070764026364812,-0.3292359795956525,0.4539224848234265,402
1,right_angle,1,0.4000000059604645,0.0,0.8,0.23184999823570251,0.4555352336343597,0.05553522767389522,-0.04541176097533269,85
1,right_angle,1,0.4000000059604645,0.8,1.6,0.23184999823570251,0.5386314831069998,0.13863147714653531,0.18948649394995493,74
1,right_angle,1,0.4000000059604645,1.6,2.4000000000000004,0.23184999823570251,0.4371793456375599,0.03717933967709541,0.3691939291358,88
1,right_angle,1,0.4000000059604645,2.4000000000000004,3.2,0.23184999823570251,0.5205119951413228,0.12051198918085831,0.5501473844525149,78
1,right_angle,1,0.4000000059604645,3.2,4.0,0.23184999823570251,0.5028282075743132,0.10282820161384872,0.6850533504184299,79
1,right_angle,1,0.4000000059604645,4.0,4.800000000000001,0.23184999823570251,0.5365627455711365,0.136562739610672,0.8812906807661068,75
1,right_angle,1,0.4000000059604645,4.800000000000001,5.6000000000000005,0.23184999823570251,0.5006906544932952,0.10069064853283075,1.0795470757897097,78
1,right_angle,1,0.4000000059604645,5.6000000000000005,6.4,0.23184999823570251,0.5907563608426314,0.19075635488216694,1.3146397768809261,65
1,right_angle,1,0.4000000059604645,6.4,7.2,0.23184999823570251,0.5247111469507217,0.12471114099025726,1.4940774093866367,75
1,right_angle,1,0.4000000059604645,7.2,8.0,0.23184999823570251,0.5605249329352043,0.16052492697473983,1.770630536999503,71
1,right_angle,1,0.4000000059604645,8.0,8.8,0.23184999823570251,0.07534999912928066,-0.32465000683118383,0.5732159307510791,432
2,right_angle,2,0.4000000059604645,0.0,0.8,0.23184999823570251,0.3994837553461188,-0.0005162506143456881,-0.09430927419908254,97
2,right_angle,2,0.4000000059604645,0.8,1.6,0.23184999823570251,0.5541422309146987,0.15414222495423424,0.11708334065145953,72
2,right_angle,2,0.4000000059604645,1.6,2.4000000000000004,0.23184999823570251,0.4400356190985647,0.040035613138100196,0.30899284290993406,87
2,right_angle,2,0.4000000059604645,2.4000000000000004,3.2,0.23184999823570251,0.5024643811397255,0.10246437517926096,0.4487756364941605,80
2,right_angle,2,0.4000000059604645,3.2,4.0,0.23184999823570251,0.5045031241223782,0.10450311816191371,0.5983191773484036,79
2,right_angle,2,0.4000000059604645,4.0,4.800000000000001,0.23184999823570251,0.5560153242614534,0.15601531830098894,0.8032073464062491,72
2,right_angle,2,0.4000000059604645,4.800000000000001,5.6000000000000005,0.23184999823570251,0.4953210030073001,0.09532099704683562,1.0072035632207084,81
2,right_angle,2,0.4000000059604645,5.6000000000000005,6.4,0.23184999823570251,0.5997576686052176,0.1997576626447531,1.1976742058533905,65
2,right_angle,2,0.4000000059604645,6.4,7.2,0.23184999823570251,0.3925485247848453,-0.007451481175619167,1.3281916784742394,91
2,right_angle,2,0.4000000059604645,7.2,8.0,0.23184999823570251,0.5181481253791165,0.11814811941865203,1.5273929306841536,77
2,right_angle,2,0.4000000059604645,8.0,8.8,0.23184999823570251,0.06701628739168321,-0.3329837185687813,0.43996890344118084,399
