suite,path_shape,independent_routes,task_success_rate,task_success_rate_ci95_low,task_success_rate_ci95_high,survival_rate,survival_rate_ci95_low,survival_rate_ci95_high,strict_arrival_rate,strict_arrival_rate_ci95_low,strict_arrival_rate_ci95_high,base_failure_rate,base_failure_rate_ci95_low,base_failure_rate_ci95_high,active_cross_track_rmse_m,active_cross_track_rmse_m_ci95_low,active_cross_track_rmse_m_ci95_high,active_cross_track_p95_m,active_cross_track_p95_m_ci95_low,active_cross_track_p95_m_ci95_high,active_cross_track_max_m,active_cross_track_max_m_ci95_low,active_cross_track_max_m_ci95_high,active_height_mae_m,active_height_mae_m_ci95_low,active_height_mae_m_ci95_high,arrival_speed_abs_error_m_s,arrival_speed_abs_error_m_s_ci95_low,arrival_speed_abs_error_m_s_ci95_high
fast_crouch_to_walk,coherent_smooth,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,0.16666666666666666,0.0,0.3333333333333333,0.07729096336857899,0.06488253810185217,0.08969938863530581,0.13735325131565332,0.10514739838739236,0.16955910424391427,0.14868965993324917,0.11689639091491699,0.18048292895158133,0.0344715772136133,0.032358720765396094,0.0365844336618305,0.064458827587716,0.02714800787165846,0.10176964730377354
fast_crouch_to_walk,hard_waypoint,2,0.5,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.13255634740579714,0.09210197696028764,0.17301071785130664,0.22305042929947375,0.1630377558370431,0.2830631027619044,0.24217480917771658,0.18747057020664215,0.296879048148791,0.03706975591920538,0.03486790059042163,0.039271611247989134,0.131698740753159,0.0808762010323016,0.1825212804740164
fast_crouch_to_walk,procedural,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.6666666666666666,1.0,0.8333333333333333,0.6666666666666666,1.0,0.16666666666666666,0.0,0.3333333333333333,0.0810691801094031,0.07367028395448486,0.08846807626432135,0.13924975345532098,0.12553166275223096,0.15296784415841103,0.14594928051034609,0.13149366776148477,0.1604048932592074,0.032901641598308176,0.029298223232268366,0.03650505996434799,0.06921385956321016,0.04360454301050076,0.09482317611591957
fast_crouch_to_walk,rounded_waypoint,2,0.5,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.11382232375376755,0.07779577561954365,0.14984887188799145,0.19189719843367736,0.15531405260165532,0.22848034426569938,0.22167515009641647,0.1854984164237976,0.25785188376903534,0.033227342270353254,0.03105270506493178,0.03540197947577473,0.09132154473412929,0.07418568347312311,0.10845740599513547
id_transition,coherent_smooth,2,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.75,1.0,0.0,0.0,0.0,0.05365930510274867,0.05180594644679343,0.05551266375870391,0.11435978580266234,0.10827659200876948,0.1204429795965552,0.13036641012877226,0.12942426837980747,0.13130855187773705,0.024744567414560437,0.023435933872444532,0.026053200956676344,0.0037382120543550737,0.0036939677643464397,0.0037824563443637077
id_transition,hard_waypoint,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.048775364008277054,0.04760247237827127,0.04994825563828284,0.10942971855401992,0.10333592360839249,0.11552351349964735,0.13604458700865507,0.13022824563086033,0.1418609283864498,0.026094266903941753,0.024462606809890566,0.02772592699799294,0.004031147543389978,0.003409738454180994,0.0046525566325989615
id_transition,procedural,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.04691682027287654,0.04548577650355284,0.048347864042200234,0.09746923958882689,0.0940982731990516,0.10084020597860216,0.1160287857055664,0.11189130879938602,0.12016626261174679,0.024878279188786476,0.024685161582731825,0.02507139679484113,0.005526889139276618,0.0035303915968660365,0.0075233866816872
id_transition,rounded_waypoint,2,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.75,1.0,0.0,0.0,0.0,0.0544319105210123,0.05208135289063713,0.05678246815138747,0.12827043468132604,0.12133336476981631,0.1352075045928358,0.17523433454334736,0.1473546326160431,0.20311403647065163,0.025766407559359453,0.024842890046467794,0.026689925072251115,0.0017084426366218315,0.0013816829577150275,0.0020352023155286356
fast_crouch_to_walk,__all__,8,0.49999999999999994,0.375,0.625,0.9166666666666666,0.7916666666666666,1.0,0.9583333333333333,0.875,1.0,0.08333333333333333,0.0,0.16666666666666666,0.1011847036593867,0.07917733758183411,0.12744546928853437,0.17288765812603135,0.13920976709613264,0.2110382982851782,0.18962222492943206,0.1534414668334648,0.23185333299140137,0.03441757925037003,0.03238389513956775,0.036275479938947953,0.0891732431595536,0.06279464105450282,0.12175594493609665
id_transition,__all__,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.84375,1.0,0.0,0.0,0.0,0.05094584997622864,0.04854369332783391,0.053382973305291966,0.11238229465670879,0.10431080957758239,0.1208873532881261,0.13941852934658527,0.12478845732402988,0.15968516905559227,0.02537088026666203,0.02454126598602755,0.02625535039840909,0.0037511728434108755,0.002620351263244843,0.005169383642872469
