suite,path_shape,repeat,conditions,task_success_rate,survival_rate,strict_arrival_rate,base_failure_rate,active_cross_track_rmse_m,active_cross_track_p95_m,active_cross_track_max_m,active_height_mae_m,arrival_speed_abs_error_m_s
fast_crouch_to_walk,coherent_smooth,0,3,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.08969938863530581,0.16955910424391427,0.18048292895158133,0.0365844336618305,0.10176964730377354
fast_crouch_to_walk,coherent_smooth,1,3,0.3333333333333333,1.0,1.0,0.0,0.06488253810185217,0.10514739838739236,0.11689639091491699,0.032358720765396094,0.02714800787165846
fast_crouch_to_walk,hard_waypoint,0,3,0.6666666666666666,1.0,1.0,0.0,0.09210197696028764,0.1630377558370431,0.18747057020664215,0.03486790059042163,0.0808762010323016
fast_crouch_to_walk,hard_waypoint,1,3,0.3333333333333333,1.0,1.0,0.0,0.17301071785130664,0.2830631027619044,0.296879048148791,0.039271611247989134,0.1825212804740164
fast_crouch_to_walk,procedural,0,3,0.6666666666666666,1.0,1.0,0.0,0.07367028395448486,0.12553166275223096,0.13149366776148477,0.029298223232268366,0.09482317611591957
fast_crouch_to_walk,procedural,1,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.08846807626432135,0.15296784415841103,0.1604048932592074,0.03650505996434799,0.04360454301050076
fast_crouch_to_walk,rounded_waypoint,0,3,0.3333333333333333,1.0,1.0,0.0,0.14984887188799145,0.22848034426569938,0.25785188376903534,0.03540197947577473,0.07418568347312311
fast_crouch_to_walk,rounded_waypoint,1,3,0.6666666666666666,1.0,1.0,0.0,0.07779577561954365,0.15531405260165532,0.1854984164237976,0.03105270506493178,0.10845740599513547
id_transition,coherent_smooth,0,4,1.0,1.0,1.0,0.0,0.05551266375870391,0.1204429795965552,0.12942426837980747,0.026053200956676344,0.0037824563443637077
id_transition,coherent_smooth,1,4,1.0,1.0,0.75,0.0,0.05180594644679343,0.10827659200876948,0.13130855187773705,0.023435933872444532,0.0036939677643464397
id_transition,hard_waypoint,0,4,1.0,1.0,1.0,0.0,0.04760247237827127,0.10333592360839249,0.13022824563086033,0.02772592699799294,0.003409738454180994
id_transition,hard_waypoint,1,4,1.0,1.0,1.0,0.0,0.04994825563828284,0.11552351349964735,0.1418609283864498,0.024462606809890566,0.0046525566325989615
id_transition,procedural,0,4,1.0,1.0,1.0,0.0,0.04548577650355284,0.0940982731990516,0.11189130879938602,0.02507139679484113,0.0075233866816872
id_transition,procedural,1,4,1.0,1.0,1.0,0.0,0.048347864042200234,0.10084020597860216,0.12016626261174679,0.024685161582731825,0.0035303915968660365
id_transition,rounded_waypoint,0,4,1.0,1.0,1.0,0.0,0.05208135289063713,0.12133336476981631,0.1473546326160431,0.026689925072251115,0.0013816829577150275
id_transition,rounded_waypoint,1,4,1.0,1.0,0.75,0.0,0.05678246815138747,0.1352075045928358,0.20311403647065163,0.024842890046467794,0.0020352023155286356
