scenario_id,repeat,requested_vx,requested_vy,requested_wz,requested_height,samples,survived,time_to_failure_s,achieved_vx_mean,achieved_vy_mean,achieved_wz_mean,achieved_height_mean,achieved_height_std,vx_rmse,vy_rmse,wz_rmse,height_rmse,tilt_rms_deg,tilt_max_deg,action_delta_rms
0,0,0.0,0.0,0.0,0.1705,650,True,nan,0.001065487856976688,-0.001099724555388093,0.0011562685249373317,0.162348672747612,0.002492611762136221,0.02009713277220726,0.006648098584264517,0.033779390156269073,0.00852392241358757,1.2695590257644653,2.2266433238983154,0.03938530758023262
1,1,0.0,0.0,0.0,0.1705,650,True,nan,0.003554063616320491,-0.0013593726325780153,-0.0004507661797106266,0.16018745303153992,0.002582489512860775,0.03926655277609825,0.01044482458382845,0.04341624304652214,0.010630995035171509,2.082676410675049,4.609532356262207,0.0414031445980072
2,2,0.0,0.0,0.0,0.1705,650,True,nan,0.0011969319311901927,-0.0007576505886390805,0.003640806535258889,0.15922167897224426,0.0025847316719591618,0.019076025113463402,0.007290929555892944,0.03092373162508011,0.011570715345442295,1.5985428094863892,3.3111448287963867,0.03793709725141525
3,0,0.0,0.0,0.0,0.2,650,True,nan,0.01304257195442915,-0.007777446415275335,0.019267430528998375,0.16619326174259186,0.004988351836800575,0.0486106239259243,0.029346635565161705,0.1275283545255661,0.03417278453707695,2.2483339309692383,12.661282539367676,0.06585969030857086
4,1,0.0,0.0,0.0,0.2,650,True,nan,-0.0012537536676973104,-0.0005492228665389121,2.5784303943510167e-05,0.16921664774417877,0.0009673928725533187,0.015200663357973099,0.009095116518437862,0.045748669654130936,0.030798550695180893,1.2798316478729248,2.8605945110321045,0.051636070013046265
5,2,0.0,0.0,0.0,0.2,650,True,nan,0.0006976695731282234,0.0004384770873002708,-0.00015853042714297771,0.16947291791439056,0.002128218300640583,0.009710406884551048,0.010911750607192516,0.05245588719844818,0.030601177364587784,2.8050270080566406,4.3316779136657715,0.055514879524707794
6,0,0.0,0.0,0.0,0.23,650,True,nan,-0.0076942723244428635,0.0014607523335143924,0.0030247478280216455,0.30001333355903625,0.01813969947397709,0.05484023317694664,0.025074424222111702,0.12734362483024597,0.07232508808374405,1.6260524988174438,11.882179260253906,0.0903574749827385
7,1,0.0,0.0,0.0,0.23,650,True,nan,-0.024328479543328285,-0.011305689811706543,-0.035956405103206635,0.2997153401374817,0.019681237637996674,0.07304250448942184,0.040147844702005386,0.22389823198318481,0.07244018465280533,1.6997129917144775,13.771862030029297,0.09713587164878845
8,2,0.0,0.0,0.0,0.23,650,True,nan,-0.020072123035788536,-0.00038839891203679144,0.014374029822647572,0.27628111839294434,0.02938704378902912,0.04917724058032036,0.036650825291872025,0.13773217797279358,0.05482281744480133,2.0470316410064697,10.832987785339355,0.11213435977697372
9,0,0.0,0.0,0.0,0.26,650,True,nan,-0.04475034773349762,0.006102218758314848,-0.031809184700250626,0.30722853541374207,0.007318482734262943,0.12305925786495209,0.02142266184091568,0.1275443732738495,0.0477922223508358,1.186902642250061,6.651041030883789,0.0665273517370224
10,1,0.0,0.0,0.0,0.26,650,True,nan,-7.328642095671967e-05,-6.449600914493203e-05,-0.0012805589940398932,0.3088892102241516,0.0005993902450427413,0.006603941787034273,0.005602766294032335,0.029357697814702988,0.04889288544654846,0.3532966673374176,0.7857050895690918,0.0351276695728302
11,2,0.0,0.0,0.0,0.26,650,True,nan,0.00021009592455811799,-8.488523599226028e-05,-0.001172186341136694,0.30870145559310913,0.0005925420555286109,0.006780220195651054,0.009426962584257126,0.03401922062039375,0.048705071210861206,0.32909247279167175,0.6218096017837524,0.03435986489057541
12,0,0.0,0.0,0.0,0.2932,572,False,13.46,-0.037120990455150604,0.00028011613176204264,0.0007320861332118511,0.3013456165790558,0.012192615307867527,0.1433020532131195,0.017498191446065903,0.26449060440063477,0.014663256704807281,5.778541564941406,44.92332077026367,0.09112273156642914
13,1,0.0,0.0,0.0,0.2932,542,False,12.86,-0.04129213094711304,-0.011129491962492466,-0.012080829590559006,0.30080896615982056,0.017015961930155754,0.1458178460597992,0.04471362754702568,0.25654712319374084,0.018639711663126945,5.9212422370910645,42.607200622558594,0.0966622531414032
14,2,0.0,0.0,0.0,0.2932,650,True,nan,4.85532837046776e-05,-0.0002347077097510919,0.0020758958999067545,0.3029872477054596,0.007548489607870579,0.023260995745658875,0.00986586231738329,0.037466928362846375,0.01236003078520298,0.39795514941215515,2.136864423751831,0.05740020051598549
15,0,0.4,0.0,0.0,0.1705,650,True,nan,0.4978283643722534,0.005144752562046051,0.03628550097346306,0.15660826861858368,0.010169742628932,0.15007126331329346,0.05095338448882103,0.28971222043037415,0.017216382548213005,6.268664360046387,10.211377143859863,0.22419486939907074
16,1,0.4,0.0,0.0,0.1705,650,True,nan,0.4732329845428467,0.014570988714694977,0.05171281844377518,0.16422390937805176,0.008823931217193604,0.19058801233768463,0.06439943611621857,0.34118300676345825,0.010828244499862194,6.683004379272461,14.38063907623291,0.22583331167697906
17,2,0.4,0.0,0.0,0.1705,650,True,nan,0.5199864506721497,0.009025623090565205,-0.02810722403228283,0.16378934681415558,0.009472631849348545,0.13760612905025482,0.05047893151640892,0.41987305879592896,0.011608774773776531,6.545603275299072,14.323095321655273,0.23412731289863586
18,0,0.4,0.0,0.0,0.2,650,True,nan,0.6396269202232361,-0.002092797541990876,0.03722499683499336,0.16781923174858093,0.007320741191506386,0.2440691739320755,0.04086705669760704,0.43119385838508606,0.03300296142697334,6.628832817077637,12.939821243286133,0.2598179876804352
19,1,0.4,0.0,0.0,0.2,650,True,nan,0.646023154258728,-0.011779803782701492,0.05423220619559288,0.16694487631320953,0.005436221603304148,0.24783086776733398,0.05796908214688301,0.4470670223236084,0.03349916264414787,6.648046016693115,14.396988868713379,0.2602883577346802
20,2,0.4,0.0,0.0,0.2,650,True,nan,0.6239010095596313,0.0015345870051532984,0.03483516350388527,0.16429078578948975,0.003070077858865261,0.23243752121925354,0.03902344033122063,0.4059741795063019,0.035840954631567,6.631239891052246,9.336108207702637,0.253633052110672
21,0,0.4,0.0,0.0,0.23,650,True,nan,0.308576762676239,-0.04628849774599075,0.017945604398846626,0.3080575168132782,0.0016229255124926567,0.13313524425029755,0.0632055401802063,0.5834710597991943,0.0780743807554245,4.196455478668213,8.199776649475098,0.15501739084720612
22,1,0.4,0.0,0.0,0.23,650,True,nan,0.21448735892772675,-0.027704382315278053,0.00942254438996315,0.2942485213279724,0.020564759150147438,0.2482692152261734,0.05254986137151718,0.4921424388885498,0.06745949387550354,4.2181010246276855,12.272424697875977,0.13433368504047394
