scenario_id,repeat,path_shape,reference_demo,requested_speed,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,reference_replay,demo_0,0.10870406776666641,3282.8746996966797,True,3.9,0.02754399877646287,0.02091815508902073,0.11711688339710236,0.14870912233461578,0.46955811977386475,0.25954359769821167,0.06387382000684738,0.14013168215751648,0.5875936505334163,0.16919496655464172,4.547460079193115,0.140329048037529
1,0,reference_replay,demo_1,0.1283864676952362,792.62449737419,True,3.9,0.041442283440161536,0.02179623208940029,0.39986318349838257,0.304497305546896,0.2505353093147278,0.2475259155035019,-0.10885826498270035,0.1313943862915039,-0.8478951632278574,0.16632342338562012,3.4100522994995117,0.14233951270580292
2,0,reference_replay,demo_10,0.14439938962459564,1863.0172958731785,True,3.9,0.07112823445173018,0.020968684926629066,0.31823429465293884,0.6303391456604004,0.1687527745962143,0.09995607286691666,-0.06784182041883469,0.1437036395072937,-0.46982068688245443,0.16885195672512054,4.81808614730835,0.14916810393333435
3,0,reference_replay,demo_100,0.18796510994434357,758.0972000524285,True,3.9,0.09665998165693676,0.0209127739071846,0.37337926030158997,0.417133267725809,0.3056851327419281,0.34920528531074524,-0.2008548378944397,0.2298252135515213,-1.0685751092525244,0.17211847007274628,4.596864700317383,0.16335098445415497
4,0,reference_replay,demo_1000,0.1307978630065918,1693.6097642206323,True,3.9,0.07262740545589266,0.021491238847374916,0.284433513879776,0.05914610227475923,0.17250098288059235,0.18541549146175385,-0.11984995007514954,0.17430363595485687,-0.9162989923551693,0.1671728491783142,4.324585437774658,0.15218037366867065
5,0,reference_replay,demo_1001,0.09712585061788559,4015.1690148414,True,3.9,0.03521624596524281,0.021279262378811836,0.16184067726135254,0.2378036975860596,0.18544898927211761,0.2588690519332886,0.0783185362815857,0.12138836830854416,0.8063613938343562,0.16781483590602875,4.78178071975708,0.14081832766532898
6,0,reference_replay,demo_1002,0.16268908977508545,1401.6339048316254,True,3.9,0.035161464771943346,0.02069557085633278,0.5219255685806274,0.2039034366607666,0.5603088736534119,0.3352133631706238,0.014637861400842667,0.1630619764328003,0.08997445016798133,0.17042899131774902,4.383090019226074,0.1597372144460678
7,0,reference_replay,demo_1003,0.16625694930553436,4612.828853112211,True,3.9,0.08847040554782078,0.020804274827241898,0.32342541217803955,0.24544763565063477,0.4407467544078827,0.26533547043800354,0.062253259122371674,0.2094769924879074,0.3744400422503084,0.1715906709432602,3.8409423828125,0.15390783548355103
8,0,reference_replay,demo_1004,0.15303876996040344,4049.6960550034987,True,3.9,0.06948724829688109,0.021397456526756287,0.2548917531967163,0.4547574520111084,0.0900069922208786,0.14569686353206635,0.053745828568935394,0.1778804510831833,0.35119093405443175,0.16730451583862305,5.007419586181641,0.16087746620178223
9,0,reference_replay,demo_1005,0.10678084939718246,1719.5890201647126,True,3.9,0.03842300253949867,0.021558543667197227,0.19735924899578094,0.44320375124086575,0.09167482703924179,0.15991781651973724,-0.013653412461280823,0.15530268847942352,-0.12786386827188026,0.17183317244052887,4.787912845611572,0.15069784224033356
10,0,reference_replay,demo_1006,0.15996871888637543,491.1087250479254,True,3.9,0.06430320873227498,0.021146031096577644,0.5469417572021484,0.37958758672605314,0.21066468954086304,0.09524460881948471,-0.10679855197668076,0.15274237096309662,-0.6676214744992673,0.17293590307235718,4.12747049331665,0.13245424628257751
11,0,reference_replay,demo_1007,0.11173105239868164,4708.330760059101,True,3.9,0.06189206471775143,0.020658811554312706,0.015233876183629036,0.08768660226930815,0.05534953996539116,0.20582355558872223,-0.012851526960730553,0.17000165581703186,-0.11502198077284193,0.17276178300380707,6.068268775939941,0.15855497121810913
