scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,transition_direction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,active_steps,active_cross_track_mean_m,active_cross_track_rmse_m,active_cross_track_p95_m,active_cross_track_max_m,active_height_mae_m,active_height_bias_m,active_height_p95_m,pre_transition_cross_track_rmse_m,transition_cross_track_rmse_m,post_transition_cross_track_rmse_m,pre_transition_height_mae_m,transition_height_mae_m,post_transition_height_mae_m,route_terminal_position_error_m,task_success_applicable,task_arrived,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,task_success_profile_height_mae_m,task_success_profile_height_within_tolerance_fraction,task_success_yaw_ok,task_success_terminal_height_ok,task_success_mean_speed_ok,task_success_profile_height_ok,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,ood_arc,,0.65,0.2800000011920929,0.2,crouch_to_walk,constant,nan,,1,1,0,0.6309970030908464,True,False,False,8.0,0.06650229315580504,0.03509824350476265,0.021840093657374382,0.08945550695061681,0.8225,0.06911592930555344,0.04534948244690895,3.999999523162842,100,0.03135836572146057,4.000000113447454,3.9748430252075195,4.0,0.9937107281183918,0.49685537815093994,0.7643928894629844,True,6.28,0.6369426932241169,0.9799118357294105,0.49685537815093994,0.7643928894629844,0.1786371106928464,-0.025157088239934566,0.06573135405778885,0.11532726474106304,302,0.06063226679536504,0.06890950372744108,0.12079429998993874,0.12842726707458496,0.025628773507890324,-0.01968736672736951,0.11196377724409103,0.0738408506156867,0.06762670542580725,0.06752771575797294,0.025627358683518002,0.05824825898656305,0.01633445309695377,0.03135883926503739,True,True,True,6.04,0.1193756279184068,0.13158046802411835,0.01542249321937561,0.012251674411830171,0.018749163961368203,0.9000662320772584,True,True,True,True,-0.9020841121673584,2.8268022537231445,0.08741467794309418,0.06831394135951996,0.1912955492734909,0.49230659008026123,0.5710018277168274,0.5057873129844666,0.7781343276684101,0.24811801314353943,8.491474151611328,0.4351789653301239
1,0,ood_arc,,0.85,0.2800000011920929,0.2,crouch_to_walk,constant,nan,,1,1,0,0.6309970030908464,True,False,False,8.0,0.06593604472049701,0.028217388316988945,0.02060515433549881,0.06694462597370145,0.8,0.04881974682211876,0.03333018347620964,3.999999523162842,100,0.08050062535551245,4.000000113447454,3.923781156539917,4.0,0.9809452613135436,0.4904726445674896,0.5770266406676349,True,5.0,0.8000000226894908,0.9411764972817539,0.4904726445674896,0.5770266406676349,0.15655758827989594,-0.0762189569075371,0.06403739005327225,0.1269964352250098,233,0.05870316336946932,0.07094359828492539,0.14069748222827907,0.1512950211763382,0.025103851193522177,-0.010480016597862407,0.07620629072189329,0.025270998599917546,0.042741187124406596,0.08578216739265045,0.019729762977244807,0.061748973611328334,0.01794531757700933,0.08050117908722569,True,True,True,4.66,0.14456821772095096,0.05742489894758027,0.031207919120788574,0.008369123057393568,0.017809631847902057,0.9280502193933581,True,True,True,True,-0.9382773637771606,2.790606737136841,0.04735493263135713,0.20077338814735413,0.16296541690826416,0.46751391887664795,0.5807557106018066,0.4987136125564575,0.5867218971252441,0.2607631981372833,8.182578086853027,0.4861786365509033
2,0,ood_arc,,1.0,0.2800000011920929,0.2,crouch_to_walk,constant,nan,,1,1,0,0.6309970030908464,True,False,False,8.0,0.06336301139163686,0.026788201183080673,0.01790311373770237,0.057404550909996,0.8275,0.05729866400361061,0.03573561832308769,3.999999523162842,100,0.05840813177458422,4.000000113447454,3.9456472396850586,4.0,0.9864117819447883,0.4932059049606323,0.4932059049606323,True,4.84,0.8264463044312922,0.8264463044312922,0.4932059049606323,0.4932059049606323,0.36087375381648373,-0.054352873762395504,0.061913348734378815,0.1263374239206313,237,0.048293216630447076,0.056852344064369356,0.10276068150997161,0.12008044123649597,0.024634378683214952,-0.014668393927284433,0.0719063520431518,0.04187523410229959,0.0428010256799173,0.06444850327012373,0.02029670945933608,0.060612932328254945,0.01876722461190717,0.05840867521306205,True,True,False,4.74,0.14279976336658953,0.13404363790621002,0.022446095943450928,-0.15611811952585364,0.019150540105273364,0.8662286166760398,True,True,False,True,-0.923291802406311,2.8071608543395996,0.09157698949704926,0.0186531450599432,0.15077780187129974,0.4718618094921112,0.5889179110527039,0.4944479763507843,0.4944479763507843,0.2582801580429077,7.914992809295654,0.4831227958202362
3,0,ood_s_curve,,0.65,0.2800000011920929,0.2,crouch_to_walk,constant,nan,,1,1,0,0.6579133442027363,True,False,False,8.0,0.07900232150679903,0.031244678422808647,0.021442651748657227,0.07987225353717797,0.8525,0.05996236205101013,0.04041126370429993,3.999999523162842,100,0.10261813471718177,3.9999999583179324,3.899653434753418,4.0,0.9749133688474557,0.48745667934417725,0.7499333528371958,True,6.259999756558849,0.6389776539730652,0.9830425445739464,0.48745667934417725,0.7499333528371958,0.09444077679183571,-0.10034652356451446,0.07020953297615051,0.12957436144351958,301,0.06782392120708346,0.07935519627641756,0.13127127289772034,0.14561650156974792,0.02510169519736521,-0.021366626766829,0.08611063659191132,0.04111984221922886,0.11980215412011481,0.079497586370232,0.011626198887825012,0.06531035294756293,0.022655592563579668,0.10261856436217752,True,True,True,6.0200000000000005,0.1324519086035841,0.07177114486694336,0.020166367292404175,0.014451820318593378,0.02075577039090242,0.9120843963278951,True,True,True,True,-3.795598030090332,-0.5061971545219421,0.019365787506103516,0.14629477262496948,0.185577854514122,0.47949889302253723,0.557536780834198,0.4759766757488251,0.7322718088443463,0.2530352771282196,7.851897716522217,0.42073681950569153
4,0,ood_s_curve,,0.85,0.2800000011920929,0.2,crouch_to_walk,constant,nan,,1,1,0,0.6579133442027363,True,False,False,8.0,0.10511983552576243,0.028740940615534782,0.021087737753987312,0.06685508415102957,0.795,0.05128061771392822,0.035517625510692596,3.999999523162842,100,0.030188508095217843,3.9999999583179324,4.0,4.0,1.000000010420517,0.5,0.5882352941176471,True,4.939999942168584,0.8097166002317793,0.9526077649785639,0.5,0.5882352941176471,0.18540022638937348,4.1682067575266046e-08,0.10472710430622101,0.18607997894287104,245,0.09971393681129419,0.1162350444634875,0.1898295670747757,0.20119702816009521,0.026858711668423244,-0.012841127174241202,0.07499201893806456,0.051721376260516747,0.13541681381751447,0.12753602778437256,0.01569454995068637,0.06155300906726292,0.022985992220140274,0.03018834716246559,True,True,True,4.9,0.14789060515622765,0.2203373908996582,0.0031786859035491943,-0.03367347789429953,0.022287269931026463,0.8825518372127078,True,True,True,True,-3.9047296047210693,-0.5358847975730896,0.10508537292480469,0.22319796681404114,0.21470479667186737,0.4859180450439453,0.5743060111999512,0.47851601243019104,0.5629600146237542,0.25924864411354065,8.478699684143066,0.4854256510734558
5,0,ood_s_curve,,1.0,0.2800000011920929,0.2,crouch_to_walk,constant,nan,,1,1,0,0.6579133442027363,True,False,False,8.0,0.1086070449502243,0.030500292778015137,0.019250892102718353,0.06545639038085922,0.84,0.0592828094959259,0.03914691507816315,3.9916397631168365,100,0.051160028861670044,3.991640198271927,3.991640329360962,3.991640329360962,1.0000000328408944,0.49895504117012024,0.49895504117012024,True,4.579999779114871,0.8715372032274092,0.8715372032274092,0.49895504117012024,0.49895504117012024,0.3151130597947083,1.3108903473835198e-07,0.10824470221996307,0.17404826208949084,223,0.06700534145689711,0.08679596891598337,0.17233353555202482,0.1870660036802292,0.02450190451113098,-0.01975222994393832,0.08542555421590799,0.03872089884421011,0.035052773355007255,0.10735500422937366,0.010732768703315217,0.06110314511019608,0.022657038105858698,0.05115960030913131,True,True,False,4.46,0.1466196758527172,0.5968807379352017,0.02603912353515625,-0.10501340845920915,0.020944207341082245,0.8495176952777919,False,True,False,True,-3.927948236465454,-0.5844911336898804,0.35006093978881836,0.20434711873531342,0.11156167834997177,0.4957497715950012,0.576692521572113,0.48745495080947876,0.48745495080947876,0.2542535662651062,9.335297584533691,0.4936670958995819
6,0,ood_corner,,0.65,0.2800000011920929,0.2,crouch_to_walk,constant,nan,,1,1,0,0.5958891172596896,True,False,False,8.0,0.0576378546899211,0.033495280891656876,0.023865949362516403,0.08274229988455772,0.7375,0.05910038948059082,0.042176030576229095,4.000000953674316,100,0.0633459043093076,3.999999888336834,4.0,4.0,1.0000000279157923,0.5,0.7692307692307692,True,6.119999775667938,0.6535947769541011,1.0055304260832323,0.5,0.7692307692307692,0.0943292679449806,1.1166316582489344e-07,0.05677510425448418,0.09292253665626048,298,0.04407505116867335,0.05387954146154942,0.0969526562839746,0.10252508521080017,0.028328631098238414,-0.024083775711939637,0.08826151341199875,0.047978363817312034,0.011805996695631805,0.059290053450471523,0.010747788087377008,0.0587141249861036,0.02770145201966876,0.0633459043093076,True,True,True,5.96,0.11008171954503009,0.20037269592285156,0.027397572994232178,0.021140920861884904,0.024252215706161744,0.7756926623184323,True,True,True,True,-1.2705910205841064,-2.150847911834717,0.03648567199707031,0.21793219447135925,0.106269471347332,0.491362601518631,0.5341811180114746,0.4837958812713623,0.7443013558020958,0.2511275112628937,8.309954643249512,0.434109091758728
7,0,ood_corner,,0.85,0.2800000011920929,0.2,crouch_to_walk,constant,nan,,1,1,0,0.5958891172596896,True,False,False,8.0,0.09754631520199157,0.03163447603583336,0.02455923706293106,0.057901630550622925,0.6525,0.054267916828393936,0.03958923742175102,4.000000953674316,100,0.06642690633011727,3.999999888336834,3.941023349761963,4.0,0.985255864944688,0.49262791872024536,0.5795622573179358,True,5.099999882561838,0.7843137216559207,0.9227220254775538,0.49262791872024536,0.5795622573179358,0.25370711825418335,-0.058976538574871284,0.0965876579284668,0.2277916871011256,249,0.06734400008006552,0.090033883256457,0.2220394074916839,0.27431315183639526,0.03225923595897644,-0.01740916204979142,0.059947267174720764,0.04739934417786543,0.04713529884347727,0.10945225273241593,0.01660415679216385,0.05611983705789615,0.03231751133998235,0.06642690633011727,True,True,True,4.98,0.12397069671520229,0.2183475494384766,0.0077637434005737305,-0.046787171016700047,0.030339595643680516,0.5516564036453947,True,True,True,True,-1.3365795612335205,-2.041930675506592,0.03401470184326172,0.13617174327373505,0.16096991300582886,0.4342535138130188,0.5450092554092407,0.41189712285995483,0.48458485042347627,0.25374841690063477,9.270363807678223,0.47299712896347046
8,0,ood_corner,,1.0,0.2800000011920929,0.2,crouch_to_walk,constant,nan,,1,1,0,0.5958891172596896,True,False,False,8.0,0.11908090760155488,0.040442418307065964,0.032257772982120514,0.07765710353851311,0.5725,0.061583586037158966,0.04504680261015892,4.000000953674316,100,0.01409901570674817,3.999999888336834,4.0,4.0,1.0000000279157923,0.5,0.5,True,4.899999623861171,0.8163265704875418,0.8163265704875418,0.5,0.5,0.4015388289387633,1.1166316582489344e-07,0.11877377331256866,0.20921622216701494,239,0.09220270922375359,0.11169121021493567,0.22775447964668272,0.24814903736114502,0.043179387857973824,-0.022485717102324113,0.08470948040485382,0.07394147552201544,0.07417505880073727,0.13012494246647233,0.03433496327097736,0.06653713893431884,0.04307853114115049,0.01409901570674817,True,True,False,4.78,0.12373103129980934,0.16243517398834229,0.018849194049835205,-0.16317993967848665,0.042502391616324756,0.4615451995842003,True,True,False,False,-1.28883957862854,-2.1049818992614746,0.018945932388305664,0.1376638561487198,0.17730200290679932,0.4433782696723938,0.5550488829612732,0.4237068295478821,0.4237068295478821,0.24823997914791107,9.756399154663086,0.4972449541091919
