scenario_id,repeat,path_shape,reference_demo,requested_speed,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,target_progress_m,target_path_index,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,2.365148872541673e-06,True,20.0,0.04329071429269486,0.06309673935174942,4.0,100,2.05989933013916,0.08310699462890625,0.32365188002586365,0.33583012223243713,0.2731280028820038,0.31270018219947815,0.3039412200450897,1.5197061002254486,0.18528331816196442,4.6336822509765625,0.1565084010362625
1,1,straight,,0.2,2.3651523829654648e-06,True,20.0,0.05360614586891565,0.06367820501327515,4.0,100,1.2993556261062622,0.21566128730773926,0.36064234375953674,0.3032292425632477,0.18714265525341034,0.2778433859348297,0.26636773347854614,1.3318386673927307,0.18318752944469452,5.043764114379883,0.15261009335517883
2,2,straight,,0.2,2.36515062776461e-06,True,20.0,0.054959739995693285,0.05708726495504379,4.0,100,3.0243237018585205,2.3843692541122437,0.3771095871925354,0.35834500193595886,-0.047753363847732544,0.36496251821517944,0.3536740243434906,1.768370121717453,0.23441816866397858,5.4276227951049805,0.17967930436134338
3,0,straight,,0.4,2.2173286589901975e-06,True,20.0,0.03348039170351024,0.06414006650447845,8.0,200,1.9338486194610596,0.034265581761495655,0.024059157818555832,0.08001875877380371,0.45812344551086426,0.500909686088562,0.49957671761512756,1.248941794037819,0.18363380432128906,5.733638763427734,0.20775622129440308
4,1,straight,,0.4,2.0695054826272872e-06,True,20.0,0.04287773031385936,0.06190275028347969,8.0,200,0.9317954182624817,1.98858887354006,0.49226218461990356,0.46458899974823,0.07167772203683853,0.4518410563468933,0.4486527740955353,1.1216319352388382,0.17932556569576263,7.4293084144592285,0.2265062779188156
5,2,straight,,0.4,2.3651523829654648e-06,True,20.0,0.050571757488836064,0.06244008243083954,8.0,200,0.7932203412055969,2.083377544079916,0.40929919481277466,0.43188437819480896,-0.04932953789830208,0.4462561011314392,0.4424054026603699,1.1060135066509247,0.1817013919353485,7.256120204925537,0.22037231922149658
6,0,straight,,0.6,2.3651523829654648e-06,True,20.0,0.0911456344022022,0.057034682482481,10.000017166137695,249,0.05988747626543045,1.3215749899493618,0.09960036724805832,0.22662873566150665,0.48378893733024597,0.6041709184646606,0.5009597539901733,0.8349329233169556,0.287879079580307,5.103714466094971,0.23006996512413025
7,1,straight,,0.6,2.365148872541673e-06,True,20.0,0.06287751893275072,0.05447659268975258,10.000017166137695,249,0.011302283965051174,0.23849010467529297,0.036444444209337234,0.020782489329576492,0.3204401433467865,0.5084788799285889,0.5008044838905334,0.8346741398175558,0.21063272655010223,6.56989860534668,0.2416001558303833
8,2,straight,,0.6,2.365150627670834e-06,True,20.0,0.047359650963856866,0.061241697520017624,9.999994277954102,249,0.011778956279158592,0.013173405324117727,0.0281358752399683,0.021417029201984406,0.47753530740737915,0.5058256983757019,0.5013116002082825,0.8355193336804708,0.18700100481510162,5.368286609649658,0.21451309323310852
9,0,straight,,0.8,2.3651488727811154e-06,False,7.5600000000000005,0.43222864238476294,0.05406901240348816,9.999994277954102,249,10.0,0.0,0.0893755629658699,1.1693484783172607,1.0502591133117676,1.0878868103027344,1.084191918373108,1.3552398979663849,0.28407996892929077,7.269381523132324,0.3419450521469116
