scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.01,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.06133832153622594,0.007322100922465324,0.006685897707939148,0.08,2,1.4977127313613892,0.08,1.574344277381897,1.574344277381897,19.679303467273712,0.19679303467273712,19.679303467273712,0.19679303467273712,19.679303467273712,0.79905208286345,1.494344277381897,0.06026893109083176,0.1160474851727485,1.4980332051062248,-1.574344277381897,0.10506504774093628,0.7869334856616421,0.27865609526634216,0.2763223946094513,0.1818440556526184,0.24514469504356384,0.19786304235458374,19.786304235458374,0.2998519539833069,3.4098424911499023,0.2712331712245941
1,1,straight,,0.01,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.029271426611651327,0.008752836845815182,0.008410508744418621,0.08,2,2.3994011878967285,0.08,2.4792938232421875,2.4792938232421875,30.991172790527344,0.30991172790527344,30.991172790527344,0.30991172790527344,30.991172790527344,0.977555141299665,2.3992938232421874,0.02687450870871544,0.05050793290138244,2.3997223236979295,-2.4792938232421875,-0.04534733295440674,0.29178857803344727,0.256399542093277,0.364274263381958,0.3079671561717987,0.31310173869132996,0.310921847820282,31.0921847820282,0.3016104996204376,3.463988780975342,0.18838810920715332
2,2,straight,,0.01,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.029738816395727594,0.008712144568562508,0.00834527239203453,0.08,2,2.462616205215454,0.08,2.5429208278656006,2.5429208278656006,31.786510348320007,0.3178651034832001,31.786510348320007,0.3178651034832001,31.786510348320007,1.0718122138995527,2.4629208278656005,0.027466855943202972,0.052550974488258365,2.462937535545773,-2.5429208278656006,-0.009071916341781616,0.045754019414083545,0.4213812053203583,0.3419954180717468,0.31598225235939026,0.3213622570037842,0.3189656734466553,31.896567344665527,0.30154526233673096,3.548542022705078,0.17776741087436676
3,0,straight,,0.025,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.04824556155667079,0.007743756752461195,0.007107264827936888,0.2,5,1.583388328552246,0.2,1.7841901779174805,1.7841901779174805,8.920950889587402,0.22302377223968506,8.920950889587402,0.22302377223968506,8.920950889587402,0.826123670014739,1.5841901779174805,0.046760156750679016,0.08655546568334102,1.5841916221365437,-1.7841901779174805,0.0021390914916992188,1.296930019055502,0.11593982577323914,0.10873914510011673,0.19884437322616577,0.24094529449939728,0.2245299220085144,8.981196880340576,0.29995015263557434,3.3450801372528076,0.239735409617424
4,1,straight,,0.025,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.04208753120875269,0.007654254790395498,0.007058365270495415,0.2,5,1.6594021320343018,0.2,1.860138177871704,1.860138177871704,9.30069088935852,0.232517272233963,9.30069088935852,0.232517272233963,9.30069088935852,0.7959753774508833,1.6601381778717041,0.04050615057349205,0.07599067091941833,1.6602054142622353,-1.860138177871704,0.01494145393371582,0.16642028490175445,0.353145569562912,0.24415576457977295,0.21504859626293182,0.2438102662563324,0.23350585997104645,9.340234398841858,0.30014050006866455,3.3016655445098877,0.24733465909957886
5,2,straight,,0.025,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.04884998510045987,0.0072058443911373615,0.006567736156284809,0.2,5,1.6866108179092407,0.2,1.8868186473846436,1.8868186473846436,9.434093236923218,0.23585233092308044,9.434093236923218,0.23585233092308044,9.434093236923218,0.8166944118732213,1.6868186473846436,0.047392018139362335,0.08911308050155634,1.6874137995125338,-1.8868186473846436,-0.04481276869773865,0.46015906333923345,0.2606220543384552,0.31326544284820557,0.21734541654586792,0.25295117497444153,0.2368772327899933,9.475089311599731,0.2997465431690216,3.5334839820861816,0.2570907473564148
6,0,straight,,0.05,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.025622411706919392,0.008882351219654083,0.00860119704157114,0.4,10,2.3424389362335205,0.4,2.7438242435455322,2.7438242435455322,6.859560608863831,0.34297803044319153,6.859560608863831,0.34297803044319153,6.859560608863831,0.9367777418136596,2.3438242435455323,0.02295512706041336,0.04325072467327117,2.3440450218226125,-2.7438242435455322,0.03217107057571411,0.33194333711733065,0.4850272536277771,0.4249929189682007,0.3433834910392761,0.3472534418106079,0.34429508447647095,6.885901689529419,0.3018011748790741,3.4710938930511475,0.2060166746377945
7,1,straight,,0.05,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.014688644848031809,0.008834206499159336,0.008603066205978394,0.4,10,2.2019128799438477,0.4,2.603501319885254,2.603501319885254,6.508753299713135,0.32543766498565674,6.508753299713135,0.32543766498565674,6.508753299713135,0.8671641939878464,2.203501319885254,0.008821737952530384,0.01911699622869491,2.203519280548482,-2.603501319885254,0.00889676809310913,0.006730318069458008,0.45710504055023193,0.4170130491256714,0.3268027603626251,0.32803231477737427,0.3265940845012665,6.53188169002533,0.3018030524253845,3.403883457183838,0.17106623947620392
8,2,straight,,0.05,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.0239704655513644,0.008948937058448792,0.008672401309013367,0.4,10,2.203587770462036,0.4,2.6050148010253906,2.6050148010253906,6.512537002563477,0.32562685012817383,6.512537002563477,0.32562685012817383,6.512537002563477,0.8584682932811976,2.2050148010253907,0.02119818702340126,0.03794535398483276,2.2051939683391173,-2.6050148010253906,-0.02810990810394287,0.24851465225219727,0.4524524211883545,0.4066847264766693,0.325551837682724,0.32929542660713196,0.3268551528453827,6.537103056907654,0.3018723726272583,3.4430973529815674,0.20577092468738556
