scenario_id,repeat,path_shape,reference_demo,requested_speed,transition_fraction,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,target_progress_m,target_path_index,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.25,0.0,True,20.0,0.028232388599425406,0.07846313714981079,4.0,100,3.183197021484375,0.08417565027345855,0.38615021109580994,0.40552741289138794,0.3207038342952728,0.36755964159965515,0.3601027727127075,1.8005138635635376,0.21437261998653412,5.1649489402771,0.1732489913702011
1,1,straight,,0.2,0.25,2.365148872541673e-06,True,20.0,0.021352531771297454,0.06903176009654999,4.0,100,4.067508697509766,0.0676582495318814,0.4080240726470947,0.42618992924690247,0.3963702917098999,0.40742841362953186,0.40512359142303467,2.0256179571151733,0.20139852166175842,4.71906852722168,0.17068445682525635
2,2,straight,,0.2,0.25,2.365148872541673e-06,True,20.0,0.02212970789569961,0.07446473836898804,4.0,100,4.030371189117432,0.10447603860964019,0.464999258518219,0.4397246539592743,0.395412802696228,0.4049168825149536,0.4033304750919342,2.016652375459671,0.20758767426013947,4.762363433837891,0.16876232624053955
3,0,straight,,0.2,0.5,2.365148872541673e-06,True,20.0,0.025256099955750393,0.10521955043077469,4.0,100,3.7740252017974854,0.1609810034381314,0.42706528306007385,0.41223812103271484,0.3759491443634033,0.3934849798679352,0.390925794839859,1.954628974199295,0.254075288772583,4.79794454574585,0.1638990193605423
4,1,straight,,0.2,0.5,2.3651488727811154e-06,True,20.0,0.023648459667297454,0.09524849057197571,4.0,100,4.456888198852539,0.07826620737184722,0.38538652658462524,0.38027215003967285,0.4119701683521271,0.4304533302783966,0.42380574345588684,2.119028717279434,0.235960453748703,4.722293376922607,0.1659475862979889
5,2,straight,,0.2,0.5,2.3651488727811154e-06,True,20.0,0.02010874857564787,0.09765234589576721,4.0,100,4.405628204345703,0.01667720476259429,0.438846617937088,0.4261435270309448,0.4096936285495758,0.4232461452484131,0.42191147804260254,2.1095573902130127,0.24026241898536682,4.713286399841309,0.16534528136253357
6,0,straight,,0.2,0.75,2.365155893267361e-06,True,20.0,0.035271444833072714,0.12762726843357086,4.0,100,3.4538285732269287,0.04154211679567534,0.3554333746433258,0.4544694423675537,0.34615442156791687,0.3812193274497986,0.37425100803375244,1.8712550401687622,0.29785510897636414,4.77697229385376,0.15624888241291046
7,1,straight,,0.2,0.75,2.1434177044926737e-06,True,20.0,0.024339607502996425,0.1179463192820549,4.0,100,5.054521083831787,0.13722449937929349,0.4959312379360199,0.4199153184890747,0.4391772150993347,0.4557529389858246,0.4543721675872803,2.2718608379364014,0.2763423025608063,4.70059871673584,0.16584369540214539
8,2,straight,,0.2,0.75,2.365155893267361e-06,True,20.0,0.024772287706986522,0.1191030964255333,4.0,100,4.8335347175598145,0.012647390365600586,0.3995227813720703,0.4042845070362091,0.4310269057750702,0.44483482837677,0.44341155886650085,2.2170577943325043,0.2788061797618866,4.5687971115112305,0.16209866106510162
9,0,straight,,0.4,0.25,2.3651488727811154e-06,True,20.0,0.035763054354590304,0.05290762707591057,8.0,200,1.9837253093719482,0.17716294923891265,0.02557089366018772,0.02070135809481144,0.47036054730415344,0.5095045566558838,0.5011417269706726,1.2528543174266815,0.18385808169841766,5.642092704772949,0.21511562168598175
