trace_env,route_kind,time_s,x_m,y_m,target_height_m,actual_height_m,requested_speed_mps,tangent_speed_mps,cross_track_m,residual_rms
0,straight,0.0,0.0,0.0,0.1704999953508377,0.3499999940395355,0.34855663776397705,0.0,0.0,0.0
0,straight,0.02,-0.0005934732034802437,3.7217796489130706e-06,0.1704999953508377,0.34453245997428894,0.34855663776397705,-0.04484175890684128,3.7217796489130706e-06,0.5102805495262146
0,straight,0.04,-0.0006013140082359314,-0.00026463213725946844,0.1704999953508377,0.3347441554069519,0.34855663776397705,0.027234192937612534,-0.00026463213725946844,0.28944939374923706
0,straight,0.06,2.8983689844608307e-05,-0.00043556539458222687,0.1704999953508377,0.3227691948413849,0.34855663776397705,0.026400040835142136,-0.00043556539458222687,0.3940105438232422
0,straight,0.08,0.0002189595252275467,-0.00017700286116451025,0.1704999953508377,0.30786406993865967,0.34855663776397705,0.0008848535362631083,-0.00017700286116451025,0.4512200653553009
0,straight,0.1,0.00013876520097255707,-0.00011616035044426098,0.1704999953508377,0.28925108909606934,0.34855663776397705,-0.006078071892261505,-0.00011616035044426098,0.5137777924537659
0,straight,0.12,0.000420975498855114,-0.0005716874147765338,0.1704999953508377,0.266928493976593,0.34855663776397705,0.02014096826314926,-0.0005716874147765338,0.49482935667037964
0,straight,0.14,0.00024405308067798615,-0.00045499150292016566,0.1704999953508377,0.24035809934139252,0.34855663776397705,-0.019324561581015587,-0.00045499150292016566,0.5285994410514832
0,straight,0.16,4.880689084529877e-05,2.518597466405481e-05,0.1704999953508377,0.21015003323554993,0.34855663776397705,-0.005402198527008295,2.518597466405481e-05,0.49705439805984497
0,straight,0.18,0.0012537939473986626,-0.00026841991348192096,0.1704999953508377,0.17898547649383545,0.34855663776397705,0.11090943217277527,-0.00026841991348192096,0.524167537689209
0,straight,0.2,0.0047882371582090855,-0.0008785561076365411,0.1704999953508377,0.15457254648208618,0.34855663776397705,0.22722232341766357,-0.0008785561076365411,0.5761744379997253
0,straight,0.22,0.010568642057478428,-0.0016746886540204287,0.1704999953508377,0.13960710167884827,0.34855663776397705,0.33131566643714905,-0.0016746886540204287,0.6446486711502075
0,straight,0.24,0.018196076154708862,-0.003063839627429843,0.1704999953508377,0.1337219625711441,0.34855663776397705,0.41204163432121277,-0.003063839627429843,0.6394401788711548
0,straight,0.26,0.02826564945280552,-0.00517208082601428,0.1704999953508377,0.13537180423736572,0.34855663776397705,0.5745773315429688,-0.00517208082601428,0.6625205278396606
0,straight,0.28,0.0407484769821167,-0.007306201383471489,0.1704999953508377,0.14125847816467285,0.34855663776397705,0.6717368960380554,-0.007306201383471489,0.6271425485610962
0,straight,0.3,0.05466238409280777,-0.009307369589805603,0.1704999953508377,0.14829523861408234,0.34855663776397705,0.7219734787940979,-0.009307369589805603,0.6184266209602356
0,straight,0.32,0.06960632652044296,-0.011152207851409912,0.1704999953508377,0.15455347299575806,0.34855663776397705,0.7791872024536133,-0.011152207851409912,0.6531878113746643
0,straight,0.34,0.08637925237417221,-0.012848606333136559,0.1704999953508377,0.16061672568321228,0.34855663776397705,0.9078307747840881,-0.012848606333136559,0.6808292865753174
0,straight,0.36,0.10601047426462173,-0.014974786899983883,0.1704999953508377,0.16631485521793365,0.34855663776397705,1.0247493982315063,-0.014974786899983883,0.6802135705947876
