exec_horizon,inference_steps,survival_rate,num_scenarios,control_hz,replanning_hz,chunk_duration_ms,latency_mean_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,deadline_margin_ms,deadline_miss_rate,amortized_p95_ms_per_action,dynamic_rows,dynamic_done_rows,mean_vx_rmse,mean_vy_rmse,mean_wz_rmse,mean_height_rmse,mean_tilt_rms_deg,mean_action_delta_rms
1,10,0.8666666666666667,15,50.0,50.0,20.0,78.82229800103232,94.03168997378089,95.80472105648369,96.86170006170869,-74.03168997378089,1.0,94.03168997378089,0,0,0.09946041939159235,0.10079679433256387,0.31555986205736797,0.01868858009111136,5.698207056522369,0.2751497566699982
2,10,0.8,15,50.0,25.0,40.0,77.3425959981978,95.93217993387952,98.78160600666887,101.44260001834482,-55.932179933879524,1.0,47.96608996693976,0,0,0.1081663856903712,0.0869309201836586,0.3149478852748871,0.018735167593695222,6.3897952198982235,0.21943868746360143
4,10,0.9333333333333333,15,50.0,12.5,80.0,79.13456799695268,93.24548999429679,98.12500399304554,99.0365999750793,-13.24548999429679,0.42,23.311372498574197,0,0,0.060503655175367994,0.049458076742788154,0.23905939012765884,0.01249655894935131,3.186591553688049,0.13059499164422353
6,10,1.0,15,50.0,8.333333333333334,120.0,80.97957200370729,98.33601000136696,102.69732999498954,104.77149998769164,21.663989998633042,0.0,16.389335000227828,0,0,0.07231216405828794,0.042920713499188426,0.22502385973930358,0.011785324476659299,2.382512331008911,0.11669577906529109
8,10,1.0,15,50.0,6.25,160.0,79.13455600151792,92.54515502252616,94.53465798287652,96.00749996025115,67.45484497747384,0.0,11.56814437781577,0,0,0.07928000253935655,0.04228635442753633,0.2299291377266248,0.012376596157749494,2.1924463311831155,0.11258498653769493
1,8,0.8,15,50.0,50.0,20.0,68.15786598715931,83.74821997713298,100.16025698510927,106.83439997956157,-63.748219977132976,1.0,83.74821997713298,0,0,0.10133128364880879,0.1248306413491567,0.3545639803012212,0.021201580250635742,7.270513184865316,0.33688878317674004
2,8,0.8666666666666667,15,50.0,25.0,40.0,63.108335996512324,73.9391400187742,75.57584898197092,76.63909997791052,-33.9391400187742,1.0,36.9695700093871,0,0,0.0799141250550747,0.0866348280881842,0.3165636196732521,0.01680703058373183,5.359808174769084,0.1874220443268617
4,8,0.9333333333333333,15,50.0,12.5,80.0,60.44539199909195,71.87557501601987,73.13882897025906,73.97079991642386,8.124424983980134,0.0,17.968893754004966,0,0,0.06447899912794432,0.05348052692910035,0.25136440495649975,0.012973756374170383,3.3118699630101522,0.12864939868450165
6,8,1.0,15,50.0,8.333333333333334,120.0,61.32131800521165,73.03061502170749,84.36385801644062,90.68280004430562,46.96938497829251,0.0,12.171769170284582,0,0,0.07085938254992168,0.04288586800297101,0.22099639028310775,0.011276693362742663,2.4033716599146526,0.11625946660836538
8,8,0.9333333333333333,15,50.0,6.25,160.0,60.836706010159105,72.87245506886393,80.09428502293302,82.42840005550534,87.12754493113607,0.0,9.109056883607991,0,0,0.09050354932745298,0.04621425606310368,0.28856706370910007,0.01534818047657609,3.57275603612264,0.136018455773592
1,6,0.8666666666666667,15,50.0,50.0,20.0,46.452108004596084,53.83710003225133,55.439267011824995,55.85659993812442,-33.83710003225133,1.0,53.83710003225133,0,0,0.08934359600146612,0.11166620204846064,0.30371623635292055,0.017467859527096154,5.4595435897509255,0.25492430304487546
