path_shape,requested_speed,preview_0p5_x,preview_0p5_y,preview_1p0_x,preview_1p0_y,preview_1p5_x,preview_1p5_y,target_2p0_x,target_2p0_y,target_height_abs,target_yaw_rel,preview_speed_2p0,preview_distance_0p5,preview_distance_1p0,preview_distance_1p5,preview_curvature_signed,target_lateral_rate_2p0,target_yaw_rate_2p0,max_abs_z,rms_z,outside_train_range_fraction,outside_train_p01_p99_fraction
straight,0.2,0.10020039975643158,0.0,0.20040079951286316,0.0,0.30060121417045593,0.0,0.4008015990257263,0.0,0.29319998621940613,0.0,0.2003006488084793,0.10020039975643158,0.20040079951286316,0.30060121417045593,0.0,0.0,0.0,1.0000114440917969,0.5638594627380371,0.0,0.0
straight,0.2,0.10020039975643158,0.0,0.20040079951286316,0.0,0.30060121417045593,0.0,0.4008015990257263,0.0,0.29319998621940613,0.0,0.2003006488084793,0.10020039975643158,0.20040079951286316,0.30060121417045593,0.0,0.0,0.0,1.0000114440917969,0.5638594627380371,0.0,0.0
straight,0.2,0.10020039975643158,0.0,0.20040081441402435,0.0,0.30060118436813354,0.0,0.4008015990257263,0.0,0.29319998621940613,0.0,0.2003006488084793,0.10020039975643158,0.20040081441402435,0.30060118436813354,0.0,0.0,0.0,1.0000114440917969,0.5638594627380371,0.0,0.0
straight,0.2,0.10020041465759277,0.0,0.20040079951286316,0.0,0.30060121417045593,0.0,0.4008016288280487,0.0,0.29319998621940613,0.0,0.2003006637096405,0.10020041465759277,0.20040079951286316,0.30060121417045593,0.0,0.0,0.0,1.0000114440917969,0.5638594031333923,0.0,0.0
straight,0.2,0.10020038485527039,0.0,0.20040079951286316,0.0,0.30060121417045593,0.0,0.40080156922340393,0.0,0.29319998621940613,0.0,0.20030063390731812,0.10020038485527039,0.20040079951286316,0.30060121417045593,0.0,0.0,0.0,1.0000114440917969,0.5638594627380371,0.0,0.0
straight,0.2,0.10020041465759277,0.0,0.20040082931518555,0.0,0.30060118436813354,0.0,0.4008015990257263,0.0,0.29319998621940613,0.0,0.2003006488084793,0.10020041465759277,0.20040082931518555,0.30060118436813354,0.0,0.0,0.0,1.0000114440917969,0.5638594031333923,0.0,0.0
straight,0.2,0.10020041465759277,0.0,0.20040076971054077,0.0,0.30060118436813354,0.0,0.4008015990257263,0.0,0.29319998621940613,0.0,0.2003006488084793,0.10020041465759277,0.20040076971054077,0.30060118436813354,0.0,0.0,0.0,1.0000114440917969,0.5638594627380371,0.0,0.0
straight,0.2,0.10020041465759277,0.0,0.20040076971054077,0.0,0.30060118436813354,0.0,0.4008015990257263,0.0,0.29319998621940613,0.0,0.2003006488084793,0.10020041465759277,0.20040076971054077,0.30060118436813354,0.0,0.0,0.0,1.0000114440917969,0.5638594627380371,0.0,0.0
straight,0.2,0.100200355052948,0.0,0.20040076971054077,0.0,0.30060118436813354,0.0,0.4008015990257263,0.0,0.29319998621940613,0.0,0.2003006488084793,0.100200355052948,0.20040076971054077,0.30060118436813354,0.0,0.0,0.0,1.0000114440917969,0.5638595223426819,0.0,0.0
straight,0.2,0.10020041465759277,0.0,0.20040082931518555,0.0,0.3006012439727783,0.0,0.4008016586303711,0.0,0.29319998621940613,0.0,0.2003006786108017,0.10020041465759277,0.20040082931518555,0.3006012439727783,0.0,0.0,0.0,1.0000114440917969,0.5638593435287476,0.0,0.0
straight,0.2,0.10020041465759277,0.0,0.20040082931518555,0.0,0.3006012439727783,0.0,0.4008016586303711,0.0,0.29319998621940613,0.0,0.2003006786108017,0.10020041465759277,0.20040082931518555,0.3006012439727783,0.0,0.0,0.0,1.0000114440917969,0.5638593435287476,0.0,0.0
straight,0.2,0.10020041465759277,0.0,0.20040082931518555,0.0,0.3006012439727783,0.0,0.4008016586303711,0.0,0.29319998621940613,0.0,0.2003006786108017,0.10020041465759277,0.20040082931518555,0.3006012439727783,0.0,0.0,0.0,1.0000114440917969,0.5638593435287476,0.0,0.0
straight,0.2,0.10020041465759277,0.0,0.20040082931518555,0.0,0.3006012439727783,0.0,0.40080153942108154,0.0,0.29319998621940613,0.0,0.20030061900615692,0.10020041465759277,0.20040082931518555,0.3006012439727783,0.0,0.0,0.0,1.0000114440917969,0.5638594031333923,0.0,0.0
straight,0.2,0.10020041465759277,0.0,0.20040082931518555,0.0,0.3006012439727783,0.0,0.4008016586303711,0.0,0.29319998621940613,0.0,0.2003006786108017,0.10020041465759277,0.20040082931518555,0.3006012439727783,0.0,0.0,0.0,1.0000114440917969,0.5638593435287476,0.0,0.0
