time_s,requested_height,achieved_height,requested_vx,achieved_vx,achieved_vy,achieved_wz,done
0.0,0.2932,0.3104923963546753,0.4,0.011543737724423409,0.06908544152975082,0.01048432569950819,False
0.02,0.2932,0.31119439005851746,0.4,0.03488769382238388,0.06455903500318527,-0.003026737365871668,False
0.04,0.2932,0.3121448755264282,0.4,0.06145816296339035,0.05598054081201553,-0.005054573994129896,False
0.06,0.2932,0.3133937418460846,0.4,0.08673521876335144,0.04106645658612251,-0.008294405415654182,False
0.08,0.2932,0.3144993782043457,0.4,0.1111050471663475,0.02853030525147915,-0.013934110291302204,False
0.1,0.2932,0.31562837958335876,0.4,0.13497129082679749,0.014197846874594688,-0.03628417104482651,False
0.12,0.2932,0.316516637802124,0.4,0.15450185537338257,0.003915703855454922,-0.03707152605056763,False
0.14,0.2932,0.31765496730804443,0.4,0.17534326016902924,-0.005090863443911076,-0.044489502906799316,False
0.16,0.2932,0.3187100887298584,0.4,0.18792632222175598,-0.01624327339231968,-0.007163843140006065,False
0.18,0.2932,0.3196955621242523,0.4,0.19972389936447144,-0.02123560756444931,-0.03427363559603691,False
0.2,0.2932,0.3205077648162842,0.4,0.2048751562833786,-0.027393333613872528,-0.08273883163928986,False
0.22,0.2932,0.32117968797683716,0.4,0.20694933831691742,-0.03560148552060127,-0.036420952528715134,False
0.24,0.2932,0.3214816153049469,0.4,0.20253907144069672,-0.0370008610188961,0.0041750045493245125,False
0.26,0.2932,0.3217601776123047,0.4,0.1985558718442917,-0.04297856241464615,0.12319798022508621,False
0.28,0.2932,0.32205820083618164,0.4,0.18593907356262207,-0.040786515921354294,0.15223264694213867,False
0.3,0.2932,0.32203322649002075,0.4,0.17002765834331512,-0.0386970229446888,0.22306205332279205,False
0.32,0.2932,0.3221138119697571,0.4,0.1604849398136139,-0.03392718732357025,0.2801421284675598,False
0.34,0.2932,0.3219320774078369,0.4,0.1388917714357376,-0.031531721353530884,0.3408479690551758,False
0.36,0.2932,0.3220592439174652,0.4,0.1478894054889679,-0.029921917244791985,0.31731507182121277,False
0.38,0.2932,0.32228702306747437,0.4,0.11897935718297958,-0.043273959308862686,0.29823416471481323,False
0.4,0.2932,0.3223557770252228,0.4,0.11775742471218109,-0.04155086725950241,0.30063527822494507,False
0.42,0.2932,0.32253310084342957,0.4,0.0932098925113678,-0.06345546245574951,0.2050561159849167,False
0.44,0.2932,0.32270097732543945,0.4,0.0843082070350647,-0.062161047011613846,0.06463378667831421,False
0.46,0.2932,0.32234689593315125,0.4,0.058138228952884674,-0.06028030067682266,-0.10550931841135025,False
0.48,0.2932,0.3219664394855499,0.4,0.04056138917803764,-0.05529014393687248,-0.21505168080329895,False
0.5,0.2932,0.3214704394340515,0.4,0.018396971747279167,-0.053237516433000565,-0.2336747795343399,False
0.52,0.2932,0.32047587633132935,0.4,0.03218190744519234,-0.05564252659678459,-0.1380481868982315,False
0.54,0.2932,0.31933701038360596,0.4,0.04280994459986687,-0.050819117575883865,-0.09668607264757156,False
0.56,0.2932,0.31813928484916687,0.4,0.06951030343770981,-0.05368996039032936,-0.05245209485292435,False
0.58,0.2932,0.3170638382434845,0.4,0.09138331562280655,-0.0452033095061779,-0.10232570767402649,False
0.6,0.2932,0.3161523938179016,0.4,0.12020253390073776,-0.050322629511356354,-0.09161773324012756,False
0.62,0.2932,0.3156614899635315,0.4,0.13615097105503082,-0.032832738012075424,-0.11863545328378677,False
0.64,0.2932,0.3155488669872284,0.4,0.1626100391149521,-0.030456025153398514,-0.15480825304985046,False
0.66,0.2932,0.3156602382659912,0.4,0.18728362023830414,-0.0187819991260767,-0.1479882299900055,False
0.68,0.2932,0.3159615099430084,0.4,0.21836185455322266,-0.00739434314891696,-0.16926109790802002,False
0.7000000000000001,0.2932,0.31628865003585815,0.4,0.2421332597732544,0.00745648518204689,-0.10070988535881042,False
0.72,0.2932,0.31705015897750854,0.4,0.2566950023174286,0.019846448674798012,0.07915887981653214,False
0.74,0.2932,0.31744763255119324,0.4,0.2540556490421295,0.030314985662698746,0.3122759759426117,False
0.76,0.2932,0.3174745738506317,0.4,0.24053947627544403,0.023012753576040268,0.45188233256340027,False
0.78,0.2932,0.31737035512924194,0.4,0.23663704097270966,0.02107194811105728,0.3765048682689667,False
0.8,0.2932,0.3171742260456085,0.4,0.23670952022075653,0.013315148651599884,0.35923507809638977,False
0.8200000000000001,0.2932,0.31664392352104187,0.4,0.24673855304718018,0.013969473540782928,0.2722797393798828,False
0.84,0.2932,0.31586334109306335,0.4,0.25501298904418945,0.005824016407132149,0.351357102394104,False
0.86,0.2932,0.31488296389579773,0.4,0.2721605896949768,0.0037167519330978394,0.34889334440231323,False
0.88,0.2932,0.31394097208976746,0.4,0.28285112977027893,-0.0018507465720176697,0.4282839298248291,False
