scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_arrived,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,task_success_profile_height_mae_m,task_success_profile_height_within_tolerance_fraction,task_success_yaw_ok,task_success_terminal_height_ok,task_success_mean_speed_ok,task_success_profile_height_ok,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.0571653111524808,0.040621720254421234,0.032415732741355896,0.07509188428521156,0.5908333333333333,0.04988005384802818,0.04106869921088219,3.9897550344467163,100,0.06301811251477062,3.9897545576096913,3.9897546768188477,3.9897546768188477,1.0000000298788194,0.1662397782007853,0.8311988910039265,True,18.9399859155087,0.21065245641723238,1.053262282086162,0.1662397782007853,0.8311988910039265,0.13809561628558728,1.192091563240183e-07,0.05600772798061371,0.0829447716474533,0.06301811251477062,True,True,False,18.06,0.12104179171617925,0.1681712309466763,0.016536101698875427,0.020916642171079247,0.041127206751633776,0.5130567409070492,True,True,True,False,-4.047910690307617,0.04093676805496216,0.19265896478761868,0.08399558812379837,0.12162096798419952,0.16678565740585327,0.2308436781167984,0.16799992322921753,0.8399996161460876,0.17678074538707733,12.841304779052734,0.3891485631465912
1,1,straight,,0.2,0.2800000011920929,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.06901979142082366,0.044238604605197906,0.03695731237530708,0.07951197177171702,0.4275,0.059873681515455246,0.04857605695724487,3.992025911808014,100,0.09233374691308598,3.992025434970989,3.992025375366211,3.992025375366211,0.9999999850690385,0.1663343906402588,0.831671953201294,True,20.080000000000002,0.19880604755831616,0.9940302377915807,0.1663343906402588,0.831671953201294,0.12224568633439394,-5.960477800215358e-08,0.06621759384870529,0.10528141260147095,0.09233374691308598,True,True,False,19.46,0.12071937212279406,0.351733748112814,0.10095404088497162,0.005140053184531784,0.04146990365534735,0.5497724184043908,True,False,True,False,-4.027314186096191,0.08820086717605591,0.32580471038818354,0.09844731539487839,0.1798606663942337,0.1662004142999649,0.22544483840465546,0.16732969880104065,0.8366484940052032,0.2026081085205078,12.118061065673828,0.42274990677833557
2,2,straight,,0.2,0.2800000011920929,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.09930551518362071,0.054289061576128006,0.04487976059317589,0.1042644552886486,0.37083333333333335,0.06547720730304718,0.05502734333276749,3.9821271896362305,100,0.23392284618402986,3.9821267127992055,3.9821267127990723,3.9821267127990723,0.9999999999999666,0.16592194636662802,0.82960973183314,True,19.82,0.2009145667406259,1.0045728337031294,0.16592194636662802,0.82960973183314,0.1702954538363445,-1.3322676295501878e-13,0.09872663021087646,0.21397834718227385,0.23392284618402986,True,True,False,19.54,0.12434413748326288,0.015738312398092338,0.0809277892112732,0.0037935881678201333,0.0374605565569611,0.6960772332151165,True,False,True,True,-4.226162910461426,0.05975109338760376,0.33920294443239407,0.12089819461107254,0.13104349374771118,0.17483243346214294,0.22867059707641602,0.17515462636947632,0.8757731318473816,0.18872690200805664,12.493856430053711,0.4019183814525604
3,0,straight,,0.35,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.0649928034351845,0.04270081967115402,0.03506125137209892,0.08805641308426856,0.6533333333333333,0.03691675141453743,0.029712937772274017,4.000000476837158,100,0.03992323431264404,4.000000000000133,4.0,4.0,0.9999999999999667,0.16666666666666666,0.4761904761904762,True,11.18,0.3577817531306023,1.0222335803731495,0.16666666666666666,0.4761904761904762,0.22149278217898835,-1.3322676295501878e-13,0.06452210992574692,0.14014453515410424,0.03992323431264404,True,True,False,10.0,0.14839846886672167,0.08992439905275543,0.006972983479499817,0.05000000000001337,0.04314390711874576,0.5086352764037496,True,True,True,False,-4.038118362426758,0.011867880821228027,0.3443768660174771,0.18404020369052887,0.07715874165296555,0.16869224607944489,0.22890953719615936,0.1680007427930832,0.480002122265952,0.16630209982395172,13.051261901855469,0.3732890188694
4,1,straight,,0.35,0.2800000011920929,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.06914975896216494,0.0362747423350811,0.024931129068136215,0.09025736823678016,0.72,0.051312752068042755,0.03363897651433945,4.000000476837158,100,0.10159794826373439,4.000000000000133,4.0,4.0,0.9999999999999667,0.16666666666666666,0.4761904761904762,True,9.9,0.40404040404041747,1.1544011544011927,0.16666666666666666,0.4761904761904762,0.21652923374322092,-1.3322676295501878e-13,0.06843733787536621,0.12261489778757095,0.10159794826373439,True,True,False,9.200000000000001,0.12140240075971694,0.15966231027712063,0.11797535419464111,0.08478260869566662,0.043773820019466655,0.5644197335018364,True,False,False,False,-4.098537445068359,0.024748682975769043,0.026711940765380856,0.07699146121740341,0.12471006065607071,0.1691974401473999,0.26831164956092834,0.17097638547420502,0.48850395849772865,0.24571900069713593,8.847484588623047,0.4743417501449585
5,2,straight,,0.35,0.2800000011920929,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.16782529593338003,0.05347726494073868,0.0444917194545269,0.11396223604679105,0.37166666666666665,0.06046931818127632,0.052877627313137054,4.000000476837158,100,0.3278582600984731,4.000000000000133,4.0,4.0,0.9999999999999667,0.16666666666666666,0.4761904761904762,True,11.200000000000001,0.35714285714286903,1.0204081632653401,0.16666666666666666,0.4761904761904762,0.2073449231368009,-1.3322676295501878e-13,0.1675778329372406,0.32446942031383513,0.3278582600984731,True,True,False,10.82,0.12171830093478936,0.16494542757143216,0.06889021396636963,0.019685767097979034,0.04829407483971326,0.5643031523149222,True,False,True,False,-4.322295188903809,0.06013989448547363,0.2971249262439175,0.23835311830043793,0.1816607415676117,0.18149474263191223,0.25894907116889954,0.180861234664917,0.5167463847569057,0.19915306568145752,12.378592491149902,0.3934774398803711
6,0,straight,,0.5,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705,5,5,4,2.2068101356081064e-06,True,False,False,24.0,0.057884717880537825,0.03533151373267174,0.025671647861599922,0.08256446719169609,0.7441666666666666,0.028711898252367973,0.021179454401135445,3.9943065643310547,100,0.05184768814172678,3.9943060874940297,3.9943060874938965,3.9943060874938965,0.9999999999999667,0.1664294203122457,0.3328588406244914,True,7.54,0.5297488179700305,1.059497635940061,0.1664294203122457,0.3328588406244914,0.12042112764675371,-1.3322676295501878e-13,0.05459950119256973,0.09358805008232593,0.05184768814172678,True,True,False,6.4,0.11985638402789374,0.15657860437502105,0.018916860222816467,0.12411032617094209,0.05172293932488187,0.3603457045832155,True,True,False,False,-4.010540962219238,-0.05076521635055542,0.09449934959411621,0.3409571945667267,0.13927364349365234,0.1689746230840683,0.270419716835022,0.1668059229850769,0.3336118459701538,0.16935180127620697,10.033863067626953,0.424160361289978
7,1,straight,,0.5,0.2800000011920929,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932,5,5,4,2.2068101356081064e-06,True,False,False,24.0,0.062404227738079396,0.03238840028643608,0.019954191520810127,0.08671890422701835,0.8283333333333334,0.04929546266794205,0.02983047254383564,3.992932915687561,100,0.07108987702364941,3.992932438850536,3.9929323196411133,3.9929323196411133,0.9999999701448936,0.1663721799850464,0.3327443599700928,False,nan,nan,nan,0.1663721799850464,0.3327443599700928,0.08280290100285362,-1.192094227775442e-07,0.05846419930458069,0.10925527513027186,0.07108987702364941,True,True,False,7.74,0.12410014997551315,0.19637495676149566,0.10185378789901733,0.015882744037536978,0.04309715806592753,0.6006511565350975,True,False,True,False,-4.067953109741211,0.02088373899459839,0.22548794746398926,0.19026967883110046,0.2149541676044464,0.1716761440038681,0.2949276864528656,0.16919852793216705,0.3383970558643341,0.2550502419471741,7.3287482261657715,0.49914732575416565
8,2,straight,,0.5,0.2800000011920929,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500,5,5,4,2.2068101356081064e-06,True,False,False,24.0,0.2608399629112534,0.05894383788108826,0.052220623940229416,0.10637558102607726,0.22083333333333333,0.058558568358421326,0.05351191386580467,3.99997079372406,100,0.32675824919119884,3.999970316887035,3.8763856887817383,3.9999704360961914,0.9691036136984446,0.16151607036590576,0.3230321407318115,True,7.859998170510643,0.5089021943916264,1.0178043887832529,0.16151607036590576,0.3230321407318115,0.11815842770033783,-0.1235846281052968,0.2599402666091919,0.3871688798069954,0.32675824919119884,True,True,False,7.62,0.11537595967553073,0.10672718683351715,0.07380956411361694,0.024930487780450816,0.057488104155417455,0.527357555532281,True,False,True,False,-3.876415252685547,-0.3024863302707672,2.692178610955374,0.16597996652126312,0.15560437738895416,0.19694669544696808,0.28036847710609436,0.16220489144325256,0.3244097828865051,0.19669634103775024,12.828902244567871,0.41573020815849304
9,0,circle,,0.2,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705,5,5,5,0.6639431209223358,True,False,False,24.0,0.030688247669652974,0.05650118365883827,0.045410409569740295,0.1116665095090866,0.4033333333333333,0.04493964836001396,0.03558102250099182,4.000000476837158,71,0.039651377451892816,4.000000011613284,4.0,4.0,0.9999999970966791,0.16666666666666666,0.8333333333333333,True,20.2,0.19801980255511306,0.9900990127755652,0.16666666666666666,0.8333333333333333,0.19596756843631236,-1.1613283668054919e-08,0.02550150267779827,0.053071965277194974,0.039651377451892816,True,True,False,18.34,0.11903509520579118,0.10543054342269897,0.004595249891281128,0.018102508812065626,0.048740352809807264,0.45723943380484733,True,True,True,False,-0.6603962182998657,-2.8032305240631104,0.02931186556816101,0.17778678238391876,0.14196714758872986,0.1680341511964798,0.22739090025424957,0.1683075875043869,0.8415379375219345,0.17600254714488983,11.594857215881348,0.4215632379055023
