family,evaluation,timestamp,policy_kind,checkpoint,checkpoint_sha256,git_commit,dataset_sha256,task,seed,duration_s,num_scenarios,num_inference_steps,exec_horizon,survival_rate,missing_provenance,source_file
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k4_h4,2026-07-14T14:36:06,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,4,4,0.9333333333333333,,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k4_h4\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k4_h6,2026-07-14T14:37:15,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,4,6,1.0,,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k4_h6\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k4_h8,2026-07-14T14:38:15,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,4,8,1.0,,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k4_h8\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k6_h1,2026-07-14T14:28:26,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,6,1,0.8666666666666667,,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k6_h1\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k6_h2,2026-07-14T14:29:34,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,6,2,0.8666666666666667,,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k6_h2\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k6_h4,2026-07-14T14:30:36,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,6,4,0.9333333333333333,,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k6_h4\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k6_h6,2026-07-14T14:31:38,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,6,6,1.0,,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k6_h6\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k6_h8,2026-07-14T14:32:38,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,6,8,1.0,,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k6_h8\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k8_h1,2026-07-14T14:22:34,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,8,1,0.8,,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k8_h1\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k8_h2,2026-07-14T14:23:50,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,8,2,0.8666666666666667,,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k8_h2\summary.json
