time_s,requested_height,achieved_height,requested_vx,achieved_vx,achieved_vy,achieved_wz,done
0.0,0.2932,0.31082895398139954,0.4,-0.03155047446489334,-0.054069746285676956,-0.0008182195597328246,False
0.02,0.2932,0.3117859959602356,0.4,-0.00047093338798731565,-0.05539439246058464,-0.03135257214307785,False
0.04,0.2932,0.31215476989746094,0.4,0.03407342731952667,-0.05001425743103027,0.0011032684706151485,False
0.06,0.2932,0.312068909406662,0.4,0.06750977784395218,-0.04400836303830147,-0.0018508326029404998,False
0.08,0.2932,0.31130149960517883,0.4,0.08807641267776489,-0.0202325452119112,0.0030569767113775015,False
0.1,0.2932,0.31051480770111084,0.4,0.10653477162122726,-0.006595242768526077,-0.045813482254743576,False
0.12,0.2932,0.3098648488521576,0.4,0.12578560411930084,0.01158065628260374,-0.08923592418432236,False
0.14,0.2932,0.3095564842224121,0.4,0.1410323977470398,0.028964875265955925,-0.18445134162902832,False
0.16,0.2932,0.30974236130714417,0.4,0.1672213226556778,0.037111274898052216,-0.16719920933246613,False
0.18,0.2932,0.30986925959587097,0.4,0.18243137001991272,0.03575873374938965,-0.08640846610069275,False
0.2,0.2932,0.3096902370452881,0.4,0.1937641203403473,0.03354600444436073,-0.07400768250226974,False
0.22,0.2932,0.30935782194137573,0.4,0.19510936737060547,0.03097900003194809,-0.022410042583942413,False
0.24,0.2932,0.30923089385032654,0.4,0.19416941702365875,0.025616098195314407,-0.04994244500994682,False
0.26,0.2932,0.3088812232017517,0.4,0.18632566928863525,0.018877290189266205,0.04542872682213783,False
0.28,0.2932,0.30869701504707336,0.4,0.1801210641860962,0.015354669652879238,0.09160309284925461,False
0.3,0.2932,0.3089343309402466,0.4,0.1686215102672577,0.00968694593757391,0.05960274487733841,False
0.32,0.2932,0.309590220451355,0.4,0.1587003767490387,0.017314201220870018,-0.011429513804614544,False
0.34,0.2932,0.31050905585289,0.4,0.1539997160434723,0.0152289979159832,-0.022828606888651848,False
0.36,0.2932,0.3110858201980591,0.4,0.14261570572853088,0.025408383458852768,-0.05846581235527992,False
0.38,0.2932,0.3109482228755951,0.4,0.1460089087486267,0.028229735791683197,0.0028673906344920397,False
0.4,0.2932,0.3107493817806244,0.4,0.1317659318447113,0.030020540580153465,0.10793504118919373,False
0.42,0.2932,0.31045618653297424,0.4,0.11323469132184982,0.038223378360271454,0.17894917726516724,False
0.44,0.2932,0.3101470172405243,0.4,0.11911451816558838,0.04661647602915764,0.19165809452533722,False
0.46,0.2932,0.3098677098751068,0.4,0.1350342035293579,0.053033940494060516,0.1522897332906723,False
0.48,0.2932,0.30961906909942627,0.4,0.15642257034778595,0.05325234681367874,0.15230251848697662,False
0.5,0.2932,0.3093339502811432,0.4,0.18615663051605225,0.05482405424118042,0.12311578541994095,False
0.52,0.2932,0.30914056301116943,0.4,0.21618525683879852,0.05252856761217117,0.13623961806297302,False
0.54,0.2932,0.3089447319507599,0.4,0.23356451094150543,0.0468876026570797,0.07646363228559494,False
0.56,0.2932,0.308912456035614,0.4,0.24156852066516876,0.02935090661048889,0.06820914894342422,False
0.58,0.2932,0.3092154860496521,0.4,0.26177576184272766,0.0012657307088375092,0.04606641083955765,False
0.6,0.2932,0.30997714400291443,0.4,0.2797080874443054,-0.032690808176994324,-0.1549549251794815,False
0.62,0.2932,0.3109249472618103,0.4,0.2710331380367279,-0.06275005638599396,-0.34527215361595154,False
0.64,0.2932,0.3113456964492798,0.4,0.25519031286239624,-0.06167677789926529,-0.33910125494003296,False
0.66,0.2932,0.3112923502922058,0.4,0.24273833632469177,-0.0566709078848362,-0.19958147406578064,False
0.68,0.2932,0.31099846959114075,0.4,0.24688024818897247,-0.04559800773859024,-0.11147432029247284,False
0.7000000000000001,0.2932,0.3104867935180664,0.4,0.2615911066532135,-0.033147722482681274,-0.04235290735960007,False
0.72,0.2932,0.30989429354667664,0.4,0.27799832820892334,-0.018308313563466072,-0.029087480157613754,False
0.74,0.2932,0.3093812167644501,0.4,0.2894611358642578,-0.00895434059202671,-0.01718262769281864,False
0.76,0.2932,0.3090774416923523,0.4,0.30145180225372314,-0.002709153573960066,0.01751137711107731,False
0.78,0.2932,0.30899712443351746,0.4,0.3161765933036804,0.000956946169026196,0.07788381725549698,False
0.8,0.2932,0.3088526427745819,0.4,0.33998215198516846,0.0033040428534150124,0.03701748326420784,False
