scenario,path_shape,repeat,requested_speed_m_s,progress_start_m,progress_end_m,required_height_m,tangent_speed_mean_m_s,speed_error_mean_m_s,schedule_error_mean_m,samples,duty_factor_mean,flight_fraction,duty_factor_fl,duty_factor_fr,duty_factor_hl,duty_factor_hr,diagonal_contact_correlation,ipsilateral_contact_correlation
0,procedural,0,0.3499999940395355,0.0,0.4,0.29319998621940613,0.3575195315209302,0.007519537481394681,-0.0064545341161165275,55,0.5818181818181818,0.0,0.5818181818181818,0.43636363636363634,0.6545454545454545,0.6545454545454545,0.2838014472814576,-0.33466127018464653
0,procedural,0,0.3499999940395355,0.4,0.8,0.29319998621940613,0.35866456467007835,0.008664570630542816,-0.02612696116311232,63,0.6746031746031746,0.0,0.7301587301587301,0.5396825396825397,0.746031746031746,0.6825396825396826,0.3847776980844741,-0.24595275095398988
0,procedural,0,0.3499999940395355,0.8,1.2000000000000002,0.29319998621940613,0.5323081424361781,0.18230814839664258,0.03923679743001298,38,0.5460526315789473,0.0,0.5263157894736842,0.5,0.6578947368421053,0.5,0.72672212927966,-0.6286108827981909
0,procedural,0,0.3499999940395355,1.2000000000000002,1.6,0.28178603358046955,0.4935967665772105,0.14359677253767503,0.19448822129881607,43,0.6511627906976745,0.0,0.6976744186046512,0.4418604651162791,0.627906976744186,0.8372093023255814,0.5603770620341098,-0.34403006878786346
0,procedural,0,0.3499999940395355,1.6,2.0,0.1704999953508377,0.45202922922643746,0.10202923518690196,0.3037726432139216,44,0.7784090909090909,0.0,0.8181818181818182,0.6590909090909091,0.75,0.8863636363636364,0.5026604226681102,-0.26483931414410555
0,procedural,0,0.3499999940395355,2.0,2.4000000000000004,0.1704999953508377,0.300824503103892,-0.049175490935643516,0.28846944350726617,66,0.8787878787878788,0.0,0.9242424242424242,0.803030303030303,0.7878787878787878,1.0,0.6749204633585781,-0.14855334341100396
0,procedural,0,0.3499999940395355,2.4000000000000004,2.8000000000000003,0.1704999953508377,0.2787928979214228,-0.07120709611811268,0.1841121616900797,71,0.8345070422535211,0.0,0.9154929577464789,0.7605633802816901,0.7605633802816901,0.9014084507042254,0.2639922245380363,-0.1780151993253446
0,procedural,0,0.3499999940395355,2.8000000000000003,3.2,0.1704999953508377,0.45989538525993173,0.10989539122039621,0.21313565391301995,44,0.7556818181818182,0.0,0.7045454545454546,0.8181818181818182,0.6363636363636364,0.8636363636363636,0.5460325622022636,-0.33841935028055636
0,procedural,0,0.3499999940395355,3.2,3.6,0.1704999953508377,0.2341790553949335,-0.11582093864460202,0.20576372316304248,85,0.8823529411764706,0.0,0.9294117647058824,0.9058823529411765,0.8470588235294118,0.8470588235294118,0.46401510220091147,-0.1270332143786537
0,procedural,0,0.3499999940395355,3.6,4.0,0.1704999953508377,0.23723199857900348,-0.11276799546053204,-0.010731558171603804,52,0.8990384615384616,0.0,0.9615384615384616,0.8076923076923077,1.0,0.8269230769230769,0.43716256828679984,-0.22323504886820367
1,procedural,1,0.3499999940395355,0.0,0.4,0.29319998621940613,0.4501838003001783,0.1001838062606428,0.04771738859946306,46,0.6195652173913043,0.021739130434782608,0.7608695652173914,0.3695652173913043,0.5434782608695652,0.8043478260869565,0.39100982857324484,-0.13607725245872057
1,procedural,1,0.3499999940395355,0.4,0.8,0.29319998621940613,0.35202074260042426,0.0020207485608887254,0.11007021057605723,57,0.6666666666666666,0.017543859649122806,0.631578947368421,0.543859649122807,0.7894736842105263,0.7017543859649122,0.3803711578017382,-0.18163862471400086
1,procedural,1,0.3499999940395355,0.8,1.2000000000000002,0.29319998621940613,0.4638910147954117,0.11389102075587619,0.08940909932418267,44,0.6363636363636364,0.0,0.6363636363636364,0.5,0.8181818181818182,0.5909090909090909,0.48689429282687097,-0.31684921033125685
1,procedural,1,0.3499999940395355,1.2000000000000002,1.6,0.279256805438887,0.4830905114385215,0.13309051739898595,0.26868164976618464,44,0.7045454545454546,0.0,0.7727272727272727,0.4090909090909091,0.7727272727272727,0.8636363636363636,0.3549204488747547,-0.3184931071492289
1,procedural,1,0.3499999940395355,1.6,2.0,0.1704999953508377,0.26314643216564465,-0.08685356187389086,0.26102622679346416,76,0.8552631578947368,0.0,0.868421052631579,0.8157894736842105,0.8552631578947368,0.881578947368421,0.3010494794845602,-0.11182780224168544
1,procedural,1,0.3499999940395355,2.0,2.4000000000000004,0.1704999953508377,0.29590218273155827,-0.05409781130797723,0.11532370419011324,68,0.8419117647058824,0.0,0.9705882352941176,0.7647058823529411,0.7941176470588235,0.8382352941176471,0.5713554153067015,-0.16615725802159126
1,procedural,1,0.3499999940395355,2.4000000000000004,2.8000000000000003,0.1704999953508377,0.2972836808037402,-0.05271631323579532,0.050865539963564584,67,0.8694029850746269,0.0,0.9402985074626866,0.7910447761194029,0.8208955223880597,0.9253731343283582,0.6104806692700442,-0.1318258607151173
1,procedural,1,0.3499999940395355,2.8000000000000003,3.2,0.1704999953508377,0.30955279211048037,-0.040447201929055154,-0.037625355005265426,64,0.84765625,0.0,0.9375,0.859375,0.75,0.84375,0.3687468878733712,-0.1615744272278419
1,procedural,1,0.3499999940395355,3.2,3.6,0.1704999953508377,0.4129829692597292,0.06298297522019367,-0.01204157457059885,49,0.8163265306122449,0.0,0.9795918367346939,0.8571428571428571,0.6122448979591837,0.8163265306122449,0.22226192817721604,-0.15425812012222817
1,procedural,1,0.3499999940395355,3.6,4.0,0.1704999953508377,0.43130298113000803,0.08130298709047251,0.0376889201731505,29,0.8103448275862069,0.0,0.9655172413793104,0.896551724137931,0.7586206896551724,0.6206896551724138,0.42197034040205456,-0.18607143022485123
2,procedural,0,0.3499999940395355,0.0,0.4,0.1704999953508377,0.42841958789073903,0.0784195938512035,-0.012282599207499823,46,0.6032608695652174,0.13043478260869565,0.717391304347826,0.5652173913043478,0.5217391304347826,0.6086956521739131,0.43767797057798624,0.04563392177342228
2,procedural,0,0.3499999940395355,0.4,0.8,0.1704999953508377,0.42828196228719223,0.07828196824765672,0.11476472311393868,51,0.803921568627451,0.0,0.9019607843137255,0.8823529411764706,0.7254901960784313,0.7058823529411765,0.407471768850969,-0.21925143173373124
2,procedural,0,0.3499999940395355,0.8,1.2000000000000002,0.1704999953508377,0.5302480757236481,0.18024808168411255,0.20689183217448123,37,0.7162162162162162,0.0,0.6756756756756757,0.6486486486486487,0.5675675675675675,0.972972972972973,0.5418668549321731,-0.36370325109021384
2,procedural,0,0.3499999940395355,1.2000000000000002,1.6,0.17816874478012323,0.41114725327740115,0.061147259237865605,0.3166664909819758,48,0.6614583333333334,0.0,0.7916666666666666,0.4375,0.6041666666666666,0.8125,0.6279990837938147,-0.3199203067777934
2,procedural,0,0.3499999940395355,1.6,2.0,0.29319998621940613,0.2128592866789946,-0.13714070736054093,0.21113820504508057,94,0.7473404255319149,0.0,0.7021276595744681,0.6170212765957447,0.8191489361702128,0.851063829787234,0.3991297867710281,-0.2568579595072538
2,procedural,0,0.3499999940395355,2.0,2.4000000000000004,0.29319998621940613,0.25796795903164665,-0.09203203500788888,0.03935774814346606,81,0.6882716049382716,0.0,0.7777777777777778,0.5185185185185185,0.6790123456790124,0.7777777777777778,0.24294445316238744,-0.28853922476278165
2,procedural,0,0.3499999940395355,2.4000000000000004,2.8000000000000003,0.29319998621940613,0.36051784003419535,0.010517845994659833,-0.05792907874073424,56,0.7008928571428571,0.0,0.75,0.5535714285714286,0.6607142857142857,0.8392857142857143,0.40164341141211035,-0.26199344099605987
2,procedural,0,0.3499999940395355,2.8000000000000003,3.2,0.29319998621940613,0.2793389940765542,-0.07066099996298132,-0.12585986733772497,71,0.75,0.014084507042253521,0.676056338028169,0.704225352112676,0.7605633802816901,0.8591549295774648,0.5232471943896784,-0.16615315567475053
2,procedural,0,0.3499999940395355,3.2,3.6,0.29319998621940613,0.36138716864365117,0.011387174604115662,-0.14016766202229186,54,0.7546296296296297,0.0,0.6851851851851852,0.6666666666666666,0.7962962962962963,0.8703703703703703,0.2480120703468386,-0.24938583892360322
2,procedural,0,0.3499999940395355,3.6,4.0,0.29319998621940613,0.44678027076380594,0.0967802767242704,-0.12764364718539514,28,0.6696428571428571,0.0,0.5714285714285714,0.6071428571428571,0.8571428571428571,0.6428571428571429,0.6087830828636225,-0.3734390122838074
3,procedural,1,0.3499999940395355,0.0,0.4,0.1704999953508377,0.463059736105303,0.11305974206576745,-0.0036666661892086985,48,0.6145833333333334,0.125,0.7083333333333334,0.5625,0.5416666666666666,0.6458333333333334,0.47388113235845875,0.0933421272814651
3,procedural,1,0.3499999940395355,0.4,0.8,0.1704999953508377,0.4856524801835781,0.1356524861440426,0.1513171085148321,41,0.7804878048780488,0.0,0.926829268292683,0.8780487804878049,0.6829268292682927,0.6341463414634146,0.45843176251207574,-0.15988871396376683
3,procedural,1,0.3499999940395355,0.8,1.2000000000000002,0.1704999953508377,0.5334633824072386,0.1834633883677031,0.25381579033638274,38,0.7763157894736842,0.0,0.9210526315789473,0.7105263157894737,0.6052631578947368,0.868421052631579,0.3382068060763754,-0.2424425596858536
3,procedural,1,0.3499999940395355,1.2000000000000002,1.6,0.18308460979889601,0.5017520005886371,0.15175200654910162,0.407743435926926,39,0.6858974358974359,0.0,0.6153846153846154,0.5128205128205128,0.7948717948717948,0.8205128205128205,0.28172761839673455,-0.42873711383575563
3,procedural,1,0.3499999940395355,1.6,2.0,0.29319998621940613,0.2979893417590681,-0.0520106522804674,0.45585284402440523,68,0.7573529411764706,0.0,0.6911764705882353,0.6764705882352942,0.8382352941176471,0.8235294117647058,0.49407755930759967,-0.3068874736786257
3,procedural,1,0.3499999940395355,2.0,2.4000000000000004,0.29319998621940613,0.2319054902899404,-0.11809450374959513,0.27519784913367923,86,0.7238372093023255,0.0,0.7790697674418605,0.627906976744186,0.6976744186046512,0.7906976744186046,0.45998322445955386,-0.2846039835008899
3,procedural,1,0.3499999940395355,2.4000000000000004,2.8000000000000003,0.29319998621940613,0.2922754510141471,-0.05772454302538844,0.12079400707342959,68,0.7022058823529411,0.0,0.6617647058823529,0.6911764705882353,0.6764705882352942,0.7794117647058824,0.39231452406888057,-0.15923780321259137
3,procedural,1,0.3499999940395355,2.8000000000000003,3.2,0.29319998621940613,0.2604550659705542,-0.08954492806898136,0.024657537024270898,76,0.75,0.013157894736842105,0.7763157894736842,0.6710526315789473,0.7105263157894737,0.8421052631578947,0.23491200004002136,-0.17646855012142001
3,procedural,1,0.3499999940395355,3.2,3.6,0.29319998621940613,0.34039455020831805,-0.00960544383121749,0.00798225380000294,59,0.6864406779661016,0.0,0.6440677966101694,0.5423728813559322,0.7796610169491526,0.7796610169491526,0.26591793389110757,-0.23156060961594227
