scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.01489586634035467,0.02046247571706772,0.011786100454628468,1.6,40,1.251679539680481,1.6,2.858079195022583,2.858079195022583,1.7862994968891144,0.3572598993778229,1.7862994968891144,0.3572598993778229,1.7862994968891144,0.5126613602310418,1.258079195022583,0.009434140287339687,0.01809213906526565,1.2581051192584494,-2.858079195022583,-0.008076667785644531,0.07101852098573883,0.34754401445388794,0.38588467240333557,0.35142630338668823,0.36059147119522095,0.3584190309047699,1.7920951545238495,0.16523624956607819,4.927280902862549,0.17183569073677063
1,1,straight,,0.2,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.020018272140920085,0.02024521864950657,0.01178882084786892,1.6,40,1.2262449264526367,1.6,2.832669973373413,2.832669973373413,1.7704187333583832,0.35408374667167664,1.7704187333583832,0.35408374667167664,1.7704187333583832,0.49385167924821366,1.232669973373413,0.01640406996011734,0.03995191752910611,1.232670708564786,-2.832669973373413,-0.0013464391231536865,0.08327609697450834,0.37490734457969666,0.4001483917236328,0.3399733006954193,0.3593786358833313,0.3552083969116211,1.7760419845581055,0.16483013331890106,5.0988922119140625,0.17824257910251617
2,2,straight,,0.2,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.014240838984208366,0.020651282742619514,0.01210723165422678,1.6,40,1.2245951890945435,1.6,2.830965995788574,2.830965995788574,1.7693537473678589,0.3538707494735718,1.7693537473678589,0.3538707494735718,1.7693537473678589,0.5364201081892847,1.2309659957885741,0.008444756269454956,0.016359476931393137,1.2310206490368618,-2.830965995788574,-0.011599957942962646,0.05357987085451323,0.3929676115512848,0.37556400895118713,0.3465324640274048,0.3577720522880554,0.35510802268981934,1.7755401134490967,0.16486507654190063,4.716916561126709,0.17084555327892303
3,0,straight,,0.2,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.029803128494774407,0.008738859556615353,0.008071167394518852,1.6,40,1.8483805656433105,1.6,3.4547550678253174,3.4547550678253174,2.1592219173908234,0.4318443834781647,2.1592219173908234,0.4318443834781647,2.1592219173908234,0.9226422756952047,1.8547550678253173,0.02745809219777584,0.06386959701776503,1.8548061144502241,-3.4547550678253174,0.013760685920715332,1.18170410791506,0.14173360168933868,0.23746158182621002,0.41003701090812683,0.4368124008178711,0.43347007036209106,2.1673503518104553,0.3000370264053345,4.132081985473633,0.1577092856168747
4,1,straight,,0.2,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.037896632935988106,0.007174653001129627,0.006262279115617275,1.6,40,1.4510942697525024,1.6,3.0568809509277344,3.0568809509277344,1.910550594329834,0.3821101188659668,1.910550594329834,0.3821101188659668,1.910550594329834,0.6077064262717962,1.4568809509277343,0.03609811142086983,0.057594013027846815,1.4575171688232123,-3.0568809509277344,0.04306018352508545,0.8162587324725552,0.37745440006256104,0.44005048274993896,0.3501094877719879,0.38605713844299316,0.38354501128196716,1.9177250564098358,0.2981885075569153,4.570620536804199,0.15909211337566376
5,2,straight,,0.2,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.03826227841534005,0.006744722370058298,0.005642753094434738,1.6,40,1.0698915719985962,1.6,2.6763129234313965,2.6763129234313965,1.6726955771446228,0.33453911542892456,1.6726955771446228,0.33453911542892456,1.6726955771446228,0.4661051539656519,1.0763129234313964,0.036475010216236115,0.0901693001389503,1.0763173478493855,-2.6763129234313965,0.0030859708786010742,0.026366472244262692,0.45788735151290894,0.34867262840270996,0.29896530508995056,0.34326186776161194,0.3357374668121338,1.678687334060669,0.2966386675834656,4.552270412445068,0.151800274848938
6,0,straight,,0.4,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.025577773125147397,0.020616253837943077,0.012923641130328178,3.2,80,0.9985067248344421,3.2,4.211205959320068,4.211205959320068,1.3160018622875214,0.5264007449150085,1.3160018622875214,0.5264007449150085,1.3160018622875214,0.41094999846339214,1.0112059593200682,0.022836042568087578,0.052208054065704335,1.0113563261444543,-4.211205959320068,-0.01743948459625244,0.07934695879091459,0.5116423964500427,0.5708822011947632,0.5126304626464844,0.5390902757644653,0.5278269648551941,1.3195674121379852,0.16421712934970856,5.770902156829834,0.21640080213546753
7,1,straight,,0.4,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.01606734673733095,0.021351894363760948,0.01366493385285139,3.2,80,0.9787423610687256,3.2,4.191580295562744,4.191580295562744,1.3098688423633575,0.523947536945343,1.3098688423633575,0.523947536945343,1.3098688423633575,0.38111443078756324,0.991580295562744,0.011198161169886589,0.025790005922317494,0.9915937019553942,-4.191580295562744,-0.0051565468311309814,0.005431477223531789,0.5389126539230347,0.5812923312187195,0.5176189541816711,0.5266737937927246,0.5254111289978027,1.3135278224945068,0.16304245591163635,5.370242595672607,0.21201932430267334
8,2,straight,,0.4,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.015990637592207615,0.019859224557876587,0.012975310906767845,3.2,80,0.9949705600738525,3.2,4.207774639129639,4.207774639129639,1.314929574728012,0.5259718298912048,1.314929574728012,0.5259718298912048,1.314929574728012,0.38734454154670234,1.0077746391296385,0.011152529157698154,0.025986279547214476,1.0078214817451974,-4.207774639129639,-0.009717047214508057,0.17464787164797027,0.5679118037223816,0.610871434211731,0.5215615630149841,0.5280594825744629,0.5274441242218018,1.3186103105545044,0.16275271773338318,5.227906703948975,0.20922361314296722
9,0,straight,,0.4,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.03499145911888976,0.008737964555621147,0.008131935261189938,3.2,80,2.831507444381714,3.2,6.043036460876465,6.043036460876465,1.8884488940238953,0.7553795576095581,1.8884488940238953,0.7553795576095581,1.8884488940238953,1.3406553381586073,2.8430364608764647,0.03304314613342285,0.08168287277221668,2.844353017622458,-6.043036460876465,0.0865316390991211,0.3893223444568082,0.7711352109909058,0.7604397535324097,0.7386804223060608,0.7580538988113403,0.7572059631347656,1.893014907836914,0.30001547932624817,5.2197489738464355,0.23362739384174347
